Code_dep_code_commune;reg_code;reg_nom;aca_nom;dep_nom;com_nom_maj_court;dep_code;dep_nom_num
1001;84;Auvergne-Rhône-Alpes;Lyon;Ain;L ABERGEMENT CLEMENCIAT;1;Ain (01)
1002;84;Auvergne-Rhône-Alpes;Lyon;Ain;L ABERGEMENT DE VAREY;1;Ain (01)
1003;84;Auvergne-Rhône-Alpes;Lyon;Ain;AMAREINS;1;Ain (01)
1004;84;Auvergne-Rhône-Alpes;Lyon;Ain;AMBERIEU EN BUGEY;1;Ain (01)
1005;84;Auvergne-Rhône-Alpes;Lyon;Ain;AMBERIEUX EN DOMBES;1;Ain (01)
1006;84;Auvergne-Rhône-Alpes;Lyon;Ain;AMBLEON;1;Ain (01)
1007;84;Auvergne-Rhône-Alpes;Lyon;Ain;AMBRONAY;1;Ain (01)
1008;84;Auvergne-Rhône-Alpes;Lyon;Ain;AMBUTRIX;1;Ain (01)
1009;84;Auvergne-Rhône-Alpes;Lyon;Ain;ANDERT ET CONDON;1;Ain (01)
1010;84;Auvergne-Rhône-Alpes;Lyon;Ain;ANGLEFORT;1;Ain (01)
1011;84;Auvergne-Rhône-Alpes;Lyon;Ain;APREMONT;1;Ain (01)
1012;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARANC;1;Ain (01)
1013;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARANDAS;1;Ain (01)
1014;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARBENT;1;Ain (01)
1015;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARBIGNIEU;1;Ain (01)
1016;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARBIGNY;1;Ain (01)
1017;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARGIS;1;Ain (01)
1018;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARLOD;1;Ain (01)
1019;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARMIX;1;Ain (01)
1020;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARNANS;1;Ain (01)
1021;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARS SUR FORMANS;1;Ain (01)
1022;84;Auvergne-Rhône-Alpes;Lyon;Ain;ARTEMARE;1;Ain (01)
1023;84;Auvergne-Rhône-Alpes;Lyon;Ain;ASNIERES SUR SAONE;1;Ain (01)
1024;84;Auvergne-Rhône-Alpes;Lyon;Ain;ATTIGNAT;1;Ain (01)
1025;84;Auvergne-Rhône-Alpes;Lyon;Ain;BAGE LA VILLE;1;Ain (01)
1026;84;Auvergne-Rhône-Alpes;Lyon;Ain;BAGE LE CHATEL;1;Ain (01)
1027;84;Auvergne-Rhône-Alpes;Lyon;Ain;BALAN;1;Ain (01)
1028;84;Auvergne-Rhône-Alpes;Lyon;Ain;BANEINS;1;Ain (01)
1029;84;Auvergne-Rhône-Alpes;Lyon;Ain;BEAUPONT;1;Ain (01)
1030;84;Auvergne-Rhône-Alpes;Lyon;Ain;BEAUREGARD;1;Ain (01)
1031;84;Auvergne-Rhône-Alpes;Lyon;Ain;BELLIGNAT;1;Ain (01)
1032;84;Auvergne-Rhône-Alpes;Lyon;Ain;BELIGNEUX;1;Ain (01)
1033;84;Auvergne-Rhône-Alpes;Lyon;Ain;BELLEGARDE SUR VALSERINE;1;Ain (01)
1034;84;Auvergne-Rhône-Alpes;Lyon;Ain;BELLEY;1;Ain (01)
1035;84;Auvergne-Rhône-Alpes;Lyon;Ain;BELLEYDOUX;1;Ain (01)
1036;84;Auvergne-Rhône-Alpes;Lyon;Ain;BELMONT LUTHEZIEU;1;Ain (01)
1037;84;Auvergne-Rhône-Alpes;Lyon;Ain;BENONCES;1;Ain (01)
1038;84;Auvergne-Rhône-Alpes;Lyon;Ain;BENY;1;Ain (01)
1039;84;Auvergne-Rhône-Alpes;Lyon;Ain;BEON;1;Ain (01)
1040;84;Auvergne-Rhône-Alpes;Lyon;Ain;BEREZIAT;1;Ain (01)
1041;84;Auvergne-Rhône-Alpes;Lyon;Ain;BETTANT;1;Ain (01)
1042;84;Auvergne-Rhône-Alpes;Lyon;Ain;BEY;1;Ain (01)
1043;84;Auvergne-Rhône-Alpes;Lyon;Ain;BEYNOST;1;Ain (01)
1044;84;Auvergne-Rhône-Alpes;Lyon;Ain;BILLIAT;1;Ain (01)
1045;84;Auvergne-Rhône-Alpes;Lyon;Ain;BIRIEUX;1;Ain (01)
1046;84;Auvergne-Rhône-Alpes;Lyon;Ain;BIZIAT;1;Ain (01)
1047;84;Auvergne-Rhône-Alpes;Lyon;Ain;BLYES;1;Ain (01)
1048;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOHAS;1;Ain (01)
1049;84;Auvergne-Rhône-Alpes;Lyon;Ain;LA BOISSE;1;Ain (01)
1050;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOISSEY;1;Ain (01)
1051;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOLOZON;1;Ain (01)
1052;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOULIGNEUX;1;Ain (01)
1053;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOURG EN BRESSE;1;Ain (01)
1054;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOURG ST CHRISTOPHE;1;Ain (01)
1055;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOUVENT;1;Ain (01)
1056;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOYEUX ST JEROME;1;Ain (01)
1057;84;Auvergne-Rhône-Alpes;Lyon;Ain;BOZ;1;Ain (01)
1058;84;Auvergne-Rhône-Alpes;Lyon;Ain;BREGNIER CORDON;1;Ain (01)
1059;84;Auvergne-Rhône-Alpes;Lyon;Ain;BRENAZ;1;Ain (01)
1060;84;Auvergne-Rhône-Alpes;Lyon;Ain;BRENOD;1;Ain (01)
1061;84;Auvergne-Rhône-Alpes;Lyon;Ain;BRENS;1;Ain (01)
1062;84;Auvergne-Rhône-Alpes;Lyon;Ain;BRESSOLLES;1;Ain (01)
1063;84;Auvergne-Rhône-Alpes;Lyon;Ain;BRION;1;Ain (01)
1064;84;Auvergne-Rhône-Alpes;Lyon;Ain;BRIORD;1;Ain (01)
1065;84;Auvergne-Rhône-Alpes;Lyon;Ain;BUELLAS;1;Ain (01)
1066;84;Auvergne-Rhône-Alpes;Lyon;Ain;LA BURBANCHE;1;Ain (01)
1067;84;Auvergne-Rhône-Alpes;Lyon;Ain;CEIGNES;1;Ain (01)
1068;84;Auvergne-Rhône-Alpes;Lyon;Ain;CERDON;1;Ain (01)
1069;84;Auvergne-Rhône-Alpes;Lyon;Ain;CERTINES;1;Ain (01)
1070;84;Auvergne-Rhône-Alpes;Lyon;Ain;CESSEINS;1;Ain (01)
1071;84;Auvergne-Rhône-Alpes;Lyon;Ain;CESSY;1;Ain (01)
1072;84;Auvergne-Rhône-Alpes;Lyon;Ain;CEYZERIAT;1;Ain (01)
1073;84;Auvergne-Rhône-Alpes;Lyon;Ain;CEYZERIEU;1;Ain (01)
1074;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHALAMONT;1;Ain (01)
1075;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHALEINS;1;Ain (01)
1076;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHALEY;1;Ain (01)
1077;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHALLES;1;Ain (01)
1078;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHALLEX;1;Ain (01)
1079;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAMPAGNE EN VALROMEY;1;Ain (01)
1080;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAMPDOR;1;Ain (01)
1081;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAMPFROMIER;1;Ain (01)
1082;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHANAY;1;Ain (01)
1083;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHANEINS;1;Ain (01)
1084;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHANOZ CHATENAY;1;Ain (01)
1085;84;Auvergne-Rhône-Alpes;Lyon;Ain;LA CHAPELLE DU CHATELARD;1;Ain (01)
1086;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHARANCIN;1;Ain (01)
1087;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHARIX;1;Ain (01)
1088;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHARNOZ SUR AIN;1;Ain (01)
1089;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHATEAU GAILLARD;1;Ain (01)
1090;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHATENAY;1;Ain (01)
1091;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHATILLON EN MICHAILLE;1;Ain (01)
1092;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHATILLON LA PALUD;1;Ain (01)
1093;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHATILLON SUR CHALARONNE;1;Ain (01)
1094;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAVANNES SUR REYSSOUZE;1;Ain (01)
1095;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAVANNES SUR SURAN;1;Ain (01)
1096;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAVEYRIAT;1;Ain (01)
1097;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAVORNAY;1;Ain (01)
1098;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAZEY BONS;1;Ain (01)
1099;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHAZEY SUR AIN;1;Ain (01)
1100;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHEIGNIEU LA BALME;1;Ain (01)
1101;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHEVILLARD;1;Ain (01)
1102;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHEVROUX;1;Ain (01)
1103;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHEVRY;1;Ain (01)
1104;84;Auvergne-Rhône-Alpes;Lyon;Ain;CHEZERY FORENS;1;Ain (01)
1105;84;Auvergne-Rhône-Alpes;Lyon;Ain;CIVRIEUX;1;Ain (01)
1106;84;Auvergne-Rhône-Alpes;Lyon;Ain;CIZE;1;Ain (01)
1107;84;Auvergne-Rhône-Alpes;Lyon;Ain;CLEYZIEU;1;Ain (01)
1108;84;Auvergne-Rhône-Alpes;Lyon;Ain;COLIGNY;1;Ain (01)
1109;84;Auvergne-Rhône-Alpes;Lyon;Ain;COLLONGES;1;Ain (01)
1110;84;Auvergne-Rhône-Alpes;Lyon;Ain;COLOMIEU;1;Ain (01)
1111;84;Auvergne-Rhône-Alpes;Lyon;Ain;CONAND;1;Ain (01)
1112;84;Auvergne-Rhône-Alpes;Lyon;Ain;CONDAMINE;1;Ain (01)
1113;84;Auvergne-Rhône-Alpes;Lyon;Ain;CONDEISSIAT;1;Ain (01)
1114;84;Auvergne-Rhône-Alpes;Lyon;Ain;CONFORT;1;Ain (01)
1115;84;Auvergne-Rhône-Alpes;Lyon;Ain;CONFRANCON;1;Ain (01)
1116;84;Auvergne-Rhône-Alpes;Lyon;Ain;CONTREVOZ;1;Ain (01)
1117;84;Auvergne-Rhône-Alpes;Lyon;Ain;CONZIEU;1;Ain (01)
1118;84;Auvergne-Rhône-Alpes;Lyon;Ain;CORBONOD;1;Ain (01)
1119;84;Auvergne-Rhône-Alpes;Lyon;Ain;CORCELLES;1;Ain (01)
1120;84;Auvergne-Rhône-Alpes;Lyon;Ain;CORDIEUX;1;Ain (01)
1121;84;Auvergne-Rhône-Alpes;Lyon;Ain;CORLIER;1;Ain (01)
1122;84;Auvergne-Rhône-Alpes;Lyon;Ain;CORMARANCHE EN BUGEY;1;Ain (01)
1123;84;Auvergne-Rhône-Alpes;Lyon;Ain;CORMORANCHE SUR SAONE;1;Ain (01)
1124;84;Auvergne-Rhône-Alpes;Lyon;Ain;CORMOZ;1;Ain (01)
1125;84;Auvergne-Rhône-Alpes;Lyon;Ain;CORVEISSIAT;1;Ain (01)
1126;84;Auvergne-Rhône-Alpes;Lyon;Ain;COUPY;1;Ain (01)
1127;84;Auvergne-Rhône-Alpes;Lyon;Ain;COURMANGOUX;1;Ain (01)
1128;84;Auvergne-Rhône-Alpes;Lyon;Ain;COURTES;1;Ain (01)
1129;84;Auvergne-Rhône-Alpes;Lyon;Ain;CRANS;1;Ain (01)
1130;84;Auvergne-Rhône-Alpes;Lyon;Ain;CRAS SUR REYSSOUZE;1;Ain (01)
1131;84;Auvergne-Rhône-Alpes;Lyon;Ain;CRAZ;1;Ain (01)
1132;84;Auvergne-Rhône-Alpes;Lyon;Ain;CREPIEUX LA PAPE;1;Ain (01)
1133;84;Auvergne-Rhône-Alpes;Lyon;Ain;CRESSIN ROCHEFORT;1;Ain (01)
1134;84;Auvergne-Rhône-Alpes;Lyon;Ain;CROTTET;1;Ain (01)
1135;84;Auvergne-Rhône-Alpes;Lyon;Ain;CROZET;1;Ain (01)
