Index;metier;sexe;enfant_conduite_accompagne;tranche_revenus;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;Tranche_age;Tranche_tarif_devis
3;"électricien installateur installatrice";"F";False;"20k - 40k";"Private";"Pickup";0;4;"z_Highly Rural/ Rural";2022-01-24 08:17:21,000;"complet";"dev_express";"40 - 60";"200 - 299"
7;"technicien électrotechnicien électrotechnicienne";"F";True;"100k +";"Commercial";"Minivan";0;9;"z_Highly Rural/ Rural";2022-03-13 01:10:59,000;"complet";"dev_express";"80";"200 - 299"
11;"intégrateur web";"F";True;"20k - 40k";"Private";"Minivan";0;10;"Highly Urban/ Urban";2022-05-26 05:51:37,000;"complet";"dev_express";"40 - 60";"200 - 299"
13;"chargé de clientèle banque";"F";False;"60k - 80k";"Private";"z_SUV";0;18;"Highly Urban/ Urban";2022-05-08 13:32:05,000;"complet";"dev_express";"60 - 80";"200 - 299"
16;"accompagnateur de tourisme équestre";"M";False;"40k - 60k";"Private";"Minivan";0;13;"Highly Urban/ Urban";2022-05-11 02:24:06,000;"complet";"dev_express";"80";"200 - 299"
19;"toiletteur d'animaux";"F";False;"60k - 80k";"Private";"Minivan";0;11;"Highly Urban/ Urban";2022-02-05 17:39:22,000;"complet";"dev_express";"60 - 80";"200 - 299"
21;"anatomiste";"M";False;"60k - 80k";"Private";"Minivan";0;16;"z_Highly Rural/ Rural";2022-03-20 03:44:21,000;"complet";"dev_express";"25 - 40";"200 - 299"
31;"technico-commercial en agroalimentaire";"F";False;"20k - 40k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-01-14 07:11:19,000;"complet";"dev_express";"40 - 60";"200 - 299"
35;"technicien d'analyses biomédicales";"M";True;"60k - 80k";"Private";"Sports Car";0;12;"Highly Urban/ Urban";2022-02-05 18:50:01,000;"complet";"dev_express";"40 - 60";"200 - 299"
37;"responsable du service après-vente";"F";False;"20k - 40k";"Commercial";"Sports Car";0;15;"Highly Urban/ Urban";2022-02-06 22:30:39,000;"complet";"dev_express";"60 - 80";"200 - 299"
41;"professeur de collège et de lycée";"F";True;"0 - 20 k";"Private";"Sports Car";0;10;"Highly Urban/ Urban";2022-05-31 13:11:08,000;"complet";"dev_express";"18 - 25";"200 - 299"
43;"conducteur de travaux";"M";False;"0 - 20 k";"Commercial";"Pickup";0;10;"Highly Urban/ Urban";2022-03-20 04:00:15,000;"complet";"dev_express";"40 - 60";"200 - 299"
53;"géologue minier";"M";False;"100k +";"Private";"Minivan";0;7;"Highly Urban/ Urban";2022-05-23 09:33:05,000;"complet";"dev_express";"18 - 25";"200 - 299"
54;"conducteur de travaux  agricoles";"F";False;"40k - 60k";"Private";"Sports Car";0;19;"Highly Urban/ Urban";2022-05-03 20:20:41,000;"complet";"dev_express";"40 - 60";"200 - 299"
59;"credit manager";"F";True;"20k - 40k";"Private";"Van";0;1;"Highly Urban/ Urban";2022-01-22 11:01:49,000;"complet";"dev_express";"60 - 80";"200 - 299"
62;"chargé de veille législative et réglementaire";"F";False;"40k - 60k";"Private";"Pickup";0;8;"Highly Urban/ Urban";2022-04-27 03:37:13,000;"complet";"dev_express";"40 - 60";"200 - 299"
64;"conducteur de machines à papier";"F";False;"20k - 40k";"Private";"Sports Car";0;1;"Highly Urban/ Urban";2022-05-09 23:43:14,000;"complet";"dev_express";"60 - 80";"200 - 299"
67;"avocat";"M";False;"80k - 100k";"Private";"Pickup";0;7;"Highly Urban/ Urban";2022-05-01 22:37:09,000;"complet";"dev_express";"60 - 80";"200 - 299"
75;"ascensoriste";"M";False;"40k - 60k";"Private";"Pickup";0;8;"Highly Urban/ Urban";2022-01-14 13:12:49,000;"complet";"dev_express";"60 - 80";"200 - 299"
81;"agent de constatation des douanes";"M";False;"0 - 20 k";"Private";"Sports Car";0;3;"z_Highly Rural/ Rural";2022-01-02 10:07:51,000;"complet";"dev_express";"80";"200 - 299"
82;"administrateur judiciaire";"M";False;"100k +";"Commercial";"Van";0;8;"z_Highly Rural/ Rural";2022-02-18 08:51:16,000;"complet";"dev_express";"60 - 80";"200 - 299"
83;"responsable de production alimentaire";"F";False;"20k - 40k";"Commercial";"z_SUV";0;4;"Highly Urban/ Urban";2022-04-27 19:14:40,000;"complet";"dev_express";"60 - 80";"200 - 299"
86;"développeur économique";"M";False;"40k - 60k";"Private";"Minivan";0;9;"Highly Urban/ Urban";2022-03-30 13:20:35,000;"complet";"dev_express";"40 - 60";"200 - 299"
88;"conseiller en séjour";"F";True;"20k - 40k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-05-28 07:13:31,000;"complet";"dev_express";"18 - 25";"200 - 299"
94;"modéliste";"M";False;"40k - 60k";"Private";"Van";0;1;"Highly Urban/ Urban";2022-01-17 08:39:03,000;"complet";"dev_express";"60 - 80";"200 - 299"
112;"esthéticien-cosméticien";"M";True;"100k +";"Commercial";"Minivan";0;12;"Highly Urban/ Urban";2022-05-06 14:07:50,000;"complet";"dev_express";"40 - 60";"200 - 299"
113;"mécanicien-réparateur en matériel agricole";"M";False;"0 - 20 k";"Private";"z_SUV";0;8;"Highly Urban/ Urban";2022-03-14 17:19:58,000;"complet";"dev_express";"60 - 80";"200 - 299"
117;"comédien";"F";True;"40k - 60k";"Private";"Sports Car";0;11;"z_Highly Rural/ Rural";2022-01-07 23:42:14,000;"complet";"dev_express";"60 - 80";"200 - 299"
131;"hydraulicien";"F";False;"0 - 20 k";"Private";"Sports Car";0;13;"Highly Urban/ Urban";2022-02-25 11:43:53,000;"complet";"dev_express";"60 - 80";"200 - 299"
133;"chef de mission humanitaire";"M";False;"0 - 20 k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-03-18 05:26:00,000;"complet";"dev_express";"";"200 - 299"
150;"technico-commercial en agroalimentaire";"F";False;"80k - 100k";"Private";"Minivan";0;15;"z_Highly Rural/ Rural";2022-02-26 20:58:16,000;"complet";"dev_express";"60 - 80";"200 - 299"
