Year,Country,Granularity,Mortality rate attributed to exposure to unsafe WASH services,WASH deaths
2016,Afghanistan,Total,13.92067,4824.353
2016,Albania,Total,0.16641,4.86975
2016,Algeria,Total,1.86723,758.21
2016,Angola,Total,48.81467,14065.2
2016,Antigua and Barbuda,Total,0.11403,0.11513
2016,Argentina,Total,0.36294,159.1411
2016,Armenia,Total,0.17688,5.17336
2016,Australia,Total,0.09539,23.01346
2016,Austria,Total,0.12375,10.78108
2016,Azerbaijan,Total,1.11988,108.9128
2016,Bahamas,Total,0.06853,0.26811
2016,Bahrain,Total,0.0396,0.56435
2016,Bangladesh,Total,11.94467,19464.03
2016,Barbados,Total,0.16462,0.46915
2016,Belarus,Total,0.05165,4.89667
2016,Belgium,Total,0.28179,32.00647
2016,Belize,Total,0.96521,3.54188
2016,Benin,Total,59.73005,6494.034
2016,Bhutan,Total,3.94974,31.50916
2016,Bolivia,Total,5.57744,607.2645
2016,Bosnia and Herzegovina,Total,0.07872,2.76853
2016,Botswana,Total,11.76669,264.7807
2016,Brazil,Total,1.047,2174.623
2016,Brunei Darussalam,Total,0.0452,0.19128
2016,Bulgaria,Total,0.12884,9.18815
2016,Burkina Faso,Total,49.64125,9256.325
2016,Burundi,Total,65.40117,6882.901
2016,Cabo Verde,Total,4.13675,22.32021
2016,Cambodia,Total,6.47033,1019.877
2016,Cameroon,Total,45.15287,10583.47
2016,Canada,Total,0.36794,133.5263
2016,Central African Republic,Total,82.11312,3772.784
2016,Chad,Total,101.04312,14603.3
2016,Chile,Total,0.20277,36.31498
2016,China,Total,0.57632,8134.223
2016,Colombia,Total,0.7531,366.4109
2016,Comoros,Total,50.73689,403.6642
2016,Congo,Total,38.70865,1984.138
2016,Costa Rica,Total,0.86387,41.96055
2016,Croatia,Total,0.11204,4.72051
2016,Cuba,Total,1.02635,117.7832
2016,Cyprus,Total,0.27908,3.26564
2016,Czechia,Total,0.17881,18.97327
2016,Côte d'Ivoire,Total,47.15776,11174.47
2016,Democratic People's Republic of Korea,Total,1.35658,344.1445
2016,Democratic Republic of the Congo,Total,59.75592,47049.52
2016,Denmark,Total,0.30561,17.45619
2016,Djibouti,Total,31.28645,294.826
2016,Dominican Republic,Total,2.20544,234.8522
2016,Ecuador,Total,0.64215,105.2175
2016,Egypt,Total,2.2022,1915.882
2016,El Salvador,Total,2.00514,127.2203
2016,Equatorial Guinea,Total,22.28946,272.2647
2016,Eritrea,Total,45.56445,2257.556
2016,Estonia,Total,0.00627,0.08229
2016,Eswatini,Total,27.89303,374.6307
2016,Ethiopia,Total,43.66399,44713.33
2016,Fiji,Total,2.88769,25.95353
2016,Finland,Total,0.03616,1.99014
2016,France,Total,0.26542,171.7787
2016,Gabon,Total,20.57946,407.4295
2016,Gambia,Total,29.65944,604.6097
2016,Georgia,Total,0.17978,7.05726
2016,Germany,Total,0.58651,480.4347
2016,Ghana,Total,18.83582,5312.967
2016,Greece,Total,0.0371,4.14944
2016,Grenada,Total,0.34283,0.36792
2016,Guatemala,Total,6.29517,1043.895
2016,Guinea,Total,44.63392,5532.784
2016,Guinea-Bissau,Total,35.27235,640.4408
2016,Guyana,Total,3.64877,28.21598
2016,Haiti,Total,23.79188,2580.786
2016,Honduras,Total,3.6189,329.7852
2016,Hungary,Total,0.23983,23.39143
2016,Iceland,Total,0.10354,0.34426
2016,India,Total,18.58389,246087.9
2016,Indonesia,Total,7.05721,18426.38
2016,Iran,Total,0.98453,790.3585
2016,Iraq,Total,3.03475,1129.005
2016,Ireland,Total,0.07416,3.50464
2016,Israel,Total,0.24682,20.21871
2016,Italy,Total,0.13718,81.52759
2016,Jamaica,Total,0.61365,17.6814
2016,Japan,Total,0.1667,212.9628
2016,Jordan,Total,0.62637,59.22872
2016,Kazakhstan,Total,0.38312,68.91383
2016,Kenya,Total,51.1546,24790.32
2016,Kiribati,Total,16.6583,19.05509
2016,Kuwait,Total,0.01242,0.50324
2016,Kyrgyzstan,Total,0.77594,46.21274
2016,Lao People's Democratic Republic,Total,11.31273,764.5544
2016,Latvia,Total,0.0206,0.40592
2016,Lebanon,Total,0.78675,47.25737
2016,Lesotho,Total,44.35666,977.5431
2016,Liberia,Total,41.54313,1916.729
2016,Libya,Total,0.5827,36.67053
2016,Lithuania,Total,0.08078,2.34934
2016,Luxembourg,Total,0.0485,0.27921
2016,Madagascar,Total,30.23168,7526.039
2016,Malawi,Total,28.29031,5118.163
2016,Malaysia,Total,0.41999,130.9834
2016,Maldives,Total,0.30585,1.3083
2016,Mali,Total,70.7214,12726.2
2016,Malta,Total,0.03337,0.14329
2016,Mauritania,Total,38.56949,1658.882
2016,Mauritius,Total,0.58845,7.42695
2016,Mexico,Total,1.05554,1346.237
2016,Micronesia (Federated States of),Total,3.56993,3.74615
2016,Mongolia,Total,1.28871,39.01429
2016,Montenegro,Total,0.02545,0.15999
2016,Morocco,Total,1.90323,671.3973
2016,Mozambique,Total,27.62905,7965.31
2016,Myanmar,Total,12.61942,6673.805
2016,Namibia,Total,18.31716,454.2127
2016,Nepal,Total,19.82954,5747.149
2016,Netherlands,Total,0.24093,40.92825
2016,New Zealand,Total,0.14577,6.79392
2016,Nicaragua,Total,2.24431,138.0232
2016,Niger,Total,70.81496,14639.56
2016,Nigeria,Total,68.62818,127641.3
2016,Norway,Total,0.21161,11.1195
2016,Oman,Total,0.04553,2.01467
2016,Pakistan,Total,19.58922,37847.05
2016,Panama,Total,1.89632,76.49982
2016,Papua New Guinea,Total,16.30974,1318.642
2016,Paraguay,Total,1.46453,98.49413
2016,Peru,Total,1.27684,405.7023
2016,Philippines,Total,4.19289,4332.105
2016,Poland,Total,0.09072,34.67636
2016,Portugal,Total,0.15292,15.86048
2016,Qatar,Total,0.00811,0.20829
2016,Republic of Korea,Total,1.80559,917.0953
2016,Republic of Moldova,Total,0.09594,3.89474
2016,Republic of North Macedonia,Total,0.07433,1.54705
2016,Romania,Total,0.36236,71.66723
2016,Russian Federation,Total,0.10474,150.7938
2016,Rwanda,Total,19.34948,2305.976
2016,Saint Lucia,Total,0.62866,1.11909
2016,Saint Vincent and the Grenadines,Total,1.33276,1.46129
2016,Samoa,Total,1.48876,2.90513
2016,Sao Tome and Principe,Total,11.3611,22.71185
2016,Saudi Arabia,Total,0.09226,29.77708
2016,Senegal,Total,23.86927,3678.639
2016,Serbia,Total,0.73678,64.98421
2016,Seychelles,Total,0.1694,0.15963
2016,Sierra Leone,Total,81.29262,6012.55
2016,Singapore,Total,0.06611,3.71719
2016,Slovakia,Total,0.04474,2.43565
2016,Slovenia,Total,0.02115,0.43939
2016,Solomon Islands,Total,6.17562,37.01826
2016,Somalia,Total,86.57523,12395.83
2016,South Africa,Total,13.66885,7656.672
2016,South Sudan,Total,63.28665,7740.42
2016,Spain,Total,0.15183,70.36836
2016,Sri Lanka,Total,1.19003,247.5077
2016,Sudan,Total,17.32224,6855.941
2016,Suriname,Total,2.00714,11.20705
2016,Sweden,Total,0.21519,21.169
2016,Switzerland,Total,0.13784,11.58101
2016,Syrian Arab Republic,Total,3.6654,675.5495
2016,Tajikistan,Total,2.70048,235.8854
2016,Thailand,Total,3.50653,2414.717
2016,Timor-Leste,Total,9.91329,125.7667
2016,Togo,Total,41.63327,3166.78
2016,Tonga,Total,1.42545,1.52692
2016,Trinidad and Tobago,Total,0.14189,1.93681
2016,Tunisia,Total,1.01527,115.7742
2016,Turkey,Total,0.2957,235.1192
2016,Turkmenistan,Total,3.97765,225.2361
2016,Uganda,Total,31.55895,13093.17
2016,Ukraine,Total,0.26862,119.3717
2016,United Arab Emirates,Total,0.02912,2.69967
2016,United Kingdom of Great Britain and Northern Ireland,Total,0.1972,129.7347
2016,United Republic of Tanzania,Total,38.40323,21341.52
2016,United States of America,Total,0.23153,745.9761
2016,Uruguay,Total,0.36017,12.40418
2016,Uzbekistan,Total,0.44151,138.8398
2016,Vanuatu,Total,10.41773,28.17007
2016,Venezuela,Total,1.3903,438.8923
2016,Viet Nam,Total,1.6208,1532.777
2016,Yemen,Total,10.20328,2814.495
2016,Zambia,Total,34.91273,5792.504
2016,Zimbabwe,Total,24.55074,3965.033
