Domaine,Zone,Élément,Produit,Année,Édition,Unité,Valeur
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","7.51"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","35"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","35.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","35.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","37.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","37.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","38.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","39"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Afrique du Sud","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","39.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","59.08"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.13"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Albanie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","0.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","53.59"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.36"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","7.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","7.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","7.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","8.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","8.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","9.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","9.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Algérie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","9.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Allemagne","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","0.49"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Allemagne","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.66"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Allemagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","2.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Allemagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","1.9"
