Pays,population,IDH,PIB_par_habitant,import_kg_poulet_par_habitant,Politic_score,Access_Elec_Pct,LPI,consommation_kg_poulet_par_habitant,dist,Continent
Afghanistan,41454761.0,0.496,396.01599676331506,0.11606049302756805,2.485,85.3,1.9,0.7945246626798789,5590.381,Asia
Afrique du Sud,63212384.0,0.741,5976.385850721909,4.949222291631969,0.298,87.7,3.7,33.57915246480816,9353.552,Africa
Albanie,2811655.0,0.81,8172.294966132047,17.048236714675166,-0.622,100.0,2.5,22.99704622366542,1603.534,Europe
Algérie,46164219.0,0.763,5364.027937069616,0.0006078300598998545,-1.563,100.0,2.5,9.122530156959874,1340.39,Africa
Allemagne,84548231.0,0.959,53528.07326776595,5.830301050296368,0.004,100.0,4.1,11.120669100693544,439.8984,Europe
Angola,36749906.0,0.616,2464.010768544551,5.702380299965937,-0.644,51.1,2.1,7.341469662534647,6510.322,Africa
Arabie Saoudite,33264292.0,0.9,32093.963890167874,12.754670984730414,-1.695,100.0,3.4,42.37884485862498,4694.5,Asia
Argentine,45538401.0,0.865,14187.482741258307,0.040864851622699705,1.901,100.0,2.8,45.66941601660542,11072.25,South America
Arménie,2943393.0,0.811,8228.118818316141,12.992057125908772,2.59,100.0,2.5,17.389567074461343,3434.071,Asia
Australie,26451124.0,0.958,67128.63065093188,0.007347135796573333,-1.158,100.0,3.7,51.236833640793485,16975.46,Oceania
Autriche,9130429.0,0.93,56041.74829517868,6.223549846343474,-0.237,100.0,4.0,11.626966268507209,1035.144,Europe
Azerbaïdjan,10318207.0,0.789,7012.475759693521,2.5026373283652865,1.04,100.0,2.448376,15.049633138780798,3817.547,Asia
Bahreïn,1569666.0,0.899,28453.47527499481,31.0417439123992,1.363,100.0,3.5,35.306886942827326,4843.391,Asia
Bangladesh,171466990.0,0.685,2463.628461233267,0.0002744551589784133,2.656,99.5,2.6,1.3236069519853355,7916.79,Asia
Belgique,11712893.0,0.951,55048.97523464101,15.624083648676718,-0.747,100.0,4.0,9.532603943363949,262.3845,Europe
Bhoutan,786385.0,0.698,3839.3293361394226,3.428854823019259,-1.176,100.0,2.5,4.910470062374028,7569.353,Asia
Biélorussie,9115680.0,0.824,7882.833432941919,2.92596163972408,3.183,100.0,2.7,45.035780106366175,1823.709,Europe
Bolivie,12244159.0,0.733,3686.279964920416,0.2531100747711623,1.986,99.8,2.4,45.15615323192063,10038.45,South America
Bosnie-Herzégovine,3185073.0,0.804,8638.667155509465,3.632359446706559,1.231,100.0,3.0,21.223739612875434,1352.463,Europe
Botswana,2480244.0,0.731,7820.103638593622,2.024639511273891,-2.491,76.0,3.1,2.6138396061032703,8522.764,Africa
Brésil,211140729.0,0.786,10377.589771976205,0.009967854188852402,1.695,99.8,3.2,46.51287634798305,9408.406,South America
Bulgarie,6795803.0,0.845,15067.661491217446,13.437370094453886,0.538,100.0,3.2,23.25903355350354,1760.707,Europe
Burkina Faso,23025776.0,0.459,882.689809846148,0.009633117250858343,1.533,21.7,2.3,6.641626323473311,4082.87,Africa
Cambodge,17423880.0,0.606,2457.7819139594626,1.7162285323360813,0.983,95.0,2.4,2.632395310344194,9947.79,Asia
Cameroun,28372687.0,0.588,1736.8609102479438,0.061521843172625844,2.151,72.0,2.1,4.215233474362157,5085.718,Africa
Canada,39299105.0,0.939,54517.040894468206,4.106029386674328,-0.058,100.0,4.0,37.748441599369755,6004.645,North America
Chili,19658835.0,0.878,17067.81362211952,5.031223874659918,0.448,100.0,3.0,33.846453770022485,11663.39,South America
Chine,1461501458.0,0.797,12436.247978544952,1.385527629080203,-0.11,100.0,3.7,11.926816825659301,8225.232,Asia
Chypre,1344976.0,0.913,25195.214475202534,11.147745387278286,0.397,100.0,3.2,27.5690123838641,2954.551,Asia
Colombie,52321152.0,0.788,6948.242917319558,0.8121908324954313,0.678,98.7,2.9,35.53473000747384,8707.677,South America
Comores,850387.0,0.603,1702.6302154195678,20.68631105602508,1.198,89.8,2.56,21.364461121818653,7842.67,Africa
Congo,6182885.0,0.649,2291.2710391669907,34.56959817302117,-0.25,51.3,2.6,35.706090279861264,6041.018,Africa
Congo (Rép. dém.),105789731.0,0.522,655.4347990260038,0.5534847233896455,-0.573,22.1,2.5,0.6473616990291808,6049.656,Africa
Costa Rica,5105525.0,0.833,16942.026827407564,5.592888096718751,-0.711,100.0,2.9,34.45708129918079,8919.449,North America
Croatie,3896023.0,0.889,21660.90183836184,5.233015821518507,0.753,100.0,3.3,12.850006275630303,1081.762,Europe
Côte d'Ivoire,31165654.0,0.582,2528.065957062862,0.009196662454123376,0.3,72.4,3.08,3.8148174269020636,4884.159,Africa
Danemark,5948136.0,0.962,68440.25091305915,6.552293020872421,-1.645,100.0,4.1,16.500486875216033,1027.609,Europe
Djibouti,1152944.0,0.513,3468.9693072690434,2.940177493442873,0.36,65.2,2.7,2.940177493442873,5595.459,Africa
Espagne,47911579.0,0.918,33814.179552650516,3.020114406999611,0.178,100.0,3.9,28.617317955644918,1054.656,Europe
Estonie,1367196.0,0.905,30201.40873876167,13.287582760628322,-1.164,100.0,3.6,16.77860379930895,1859.091,Europe
Fidji,924145.0,0.731,5888.736686342511,3.7737800886224564,-1.609,99.3,2.3,43.39669640586705,16595.08,Oceania
Finlande,5601185.0,0.948,52762.46745197668,1.4281013749769023,-1.204,100.0,4.2,18.8355339093424,1911.138,Europe
Fédération de Russie,145440500.0,0.832,13809.21443127602,0.6176943148572784,1.242,100.0,2.6,34.64250879225525,2494.316,Europe
