iso_o;iso_d;dist
FRA;ABW;7685,884
FRA;AFG;5590,381
FRA;AGO;6510,322
FRA;AIA;6710,57
FRA;ALB;1603,534
FRA;AND;711,5485
FRA;ANT;7638,026
FRA;ARE;5249,535
FRA;ARG;11072,25
FRA;ARM;3434,071
FRA;ATG;6708,77
FRA;AUS;16975,46
FRA;AUT;1035,144
FRA;AZE;3817,547
FRA;BDI;6371,986
FRA;BEL;262,3845
FRA;BEN;4726,537
FRA;BFA;4082,87
FRA;BGD;7916,79
FRA;BGR;1760,707
FRA;BHR;4843,391
FRA;BHS;7209,45
FRA;BIH;1352,463
FRA;BLR;1823,709
FRA;BLZ;8664,439
FRA;BMU;5764,324
FRA;BOL;10038,45
FRA;BRA;9408,406
FRA;BRB;6882,34
FRA;BRN;11219,33
FRA;BTN;7569,353
FRA;BWA;8522,764
FRA;CAF;5186,042
FRA;CAN;6004,645
FRA;CCK;11388,36
FRA;CHE;436,0778
FRA;CHL;11663,39
FRA;CHN;8225,232
FRA;CIV;4884,159
FRA;CMR;5085,718
FRA;COG;6041,018
FRA;COK;16568,87
FRA;COL;8707,677
FRA;COM;7842,67
FRA;CPV;4452,386
FRA;CRI;8919,449
FRA;CUB;7729,485
FRA;CXR;11866,1
FRA;CYM;7960,709
FRA;CYP;2954,551
FRA;CZE;884,6105
FRA;DEU;439,8984
FRA;DJI;5595,459
FRA;DMA;6826,396
FRA;DNK;1027,609
FRA;DOM;7178,52
FRA;DZA;1340,39
FRA;ECU;9367,098
FRA;EGY;3215,215
FRA;ERI;4993,154
FRA;ESH;2759,848
FRA;ESP;1054,656
FRA;EST;1859,091
FRA;ETH;5582,502
FRA;FIN;1911,138
FRA;FJI;16595,08
FRA;FLK;12560,39
FRA;FRA;278,1876
FRA;FRO;1568,769
FRA;FSM;13396,33
FRA;GAB;5438,787
FRA;GBR;342,9475
FRA;GEO;3373,349
FRA;GHA;4827,292
FRA;GIB;1549,175
FRA;GIN;4691,556
FRA;GLP;6794,139
FRA;GMB;4308,25
FRA;GNB;4440,633
FRA;GNQ;5058,926
FRA;GRC;2098,726
FRA;GRD;7120,287
FRA;GRL;3584,681
FRA;GTM;9001,048
FRA;GUF;7084,598
FRA;GUY;7320,075
FRA;HKG;9639,476
FRA;HND;8810,234
FRA;HRV;1081,762
FRA;HTI;7361,197
FRA;HUN;1247,24
FRA;IDN;11584,25
FRA;IND;6594,23
FRA;IRL;778,2031
FRA;IRN;4218,442
FRA;IRQ;3867,434
FRA;ISL;2234,723
FRA;ISR;3281,899
FRA;ITA;1109,901
FRA;JAM;7734,696
FRA;JOR;3371,398
FRA;JPN;9725,629
FRA;KAZ;5561,785
FRA;KEN;6491,402
FRA;KGZ;5424,702
FRA;KHM;9947,79
FRA;KIR;14371,47
FRA;KNA;6760,687
FRA;KOR;8981,467
FRA;KWT;4415,222
FRA;LAO;9245,57
FRA;LBN;3197,032
FRA;LBR;4892,298
FRA;LBY;2007,716
FRA;LCA;6903,772
FRA;LKA;8526,015
FRA;LSO;9054,14
FRA;LTU;1700,296
FRA;LUX;289,1023
FRA;LVA;1704,598
FRA;MAC;9601,923
FRA;MAR;1816,853
FRA;MDA;1976,854
FRA;MDG;8763,332
FRA;MDV;8294,178
FRA;MEX;9206,813
FRA;MHL;13705,24
FRA;MKD;1672,04
FRA;MLI;4139,756
FRA;MLT;1752,693
FRA;MMR;8892,726
FRA;MNG;7053,423
FRA;MNP;12042,09
FRA;MOZ;8855,655
FRA;MRT;3794,96
FRA;MSR;6771,885
FRA;MTQ;6862,589
FRA;MUS;9422,744
FRA;MWI;7650,657
FRA;MYS;10436,4
FRA;NAM;8084,97
FRA;NCL;16757,74
FRA;NER;3932,638
FRA;NFK;17511,67
FRA;NGA;4722,149
FRA;NIC;8906,699
FRA;NIU;16639,5
FRA;NLD;427,9169
FRA;NOR;1342,89
FRA;NPL;7244,016
FRA;NRU;14455,09
FRA;NZL;19263,88
FRA;OMN;5620,005
FRA;PAK;5932,586
FRA;PAL;3303,196
FRA;PAN;8671,104
FRA;PCN;15152,12
FRA;PER;10268,11
FRA;PHL;10751,64
FRA;PLW;12240,69
FRA;PNG;14565,84
FRA;POL;1368,178
FRA;PRI;6916,064
FRA;PRK;8783,568
FRA;PRT;1452,86
FRA;PRY;10168,73
FRA;PYF;15724,43
FRA;QAT;4981,916
FRA;REU;9374,991
FRA;ROU;1875,018
FRA;RUS;2494,316
FRA;RWA;6253,41
FRA;SAU;4694,5
FRA;SDN;4612,387
FRA;SEN;4217,159
FRA;SGP;10748,26
FRA;SHN;7254,018
FRA;SLB;15178,2
FRA;SLE;4724,351
FRA;SLV;8984,298
FRA;SMR;951,0759
FRA;SOM;6623,439
FRA;SPM;4273,723
FRA;STP;5432,882
FRA;SUR;7196,987
FRA;SVK;1094,61
FRA;SVN;965,7366
FRA;SWE;1545,797
FRA;SWZ;8846,426
FRA;SYC;7855,244
FRA;SYR;3280,692
FRA;TCA;7041,488
FRA;TCD;4248,435
FRA;TGO;4753,381
FRA;THA;9454,805
FRA;TJK;5291,823
FRA;TKL;15565,23
FRA;TKM;4581,08
FRA;TMP;13128,84
FRA;TON;16941,44
FRA;TTO;7225,325
FRA;TUN;1483,828
FRA;TUR;2255,81
FRA;TUV;15531,51
FRA;TWN;9834,232
FRA;TZA;7168,277
FRA;UGA;6128,938
FRA;UKR;2025,144
FRA;URY;10972,42
FRA;USA;5838,157
FRA;UZB;5153,064
FRA;VCT;6989,701
FRA;VEN;7618,86
FRA;VGB;6804,749
FRA;VNM;9208,554
FRA;VUT;16346,35
FRA;WLF;16073,01
FRA;WSM;16011,92
FRA;YEM;5317,261
FRA;YUG;1449,718
FRA;ZAF;9353,552
FRA;COD;6049,656
FRA;ZMB;7604,841
FRA;ZWE;7949,676
