"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2363T1680837R","2023-05-23","2023-05-23","2023-05-12","DPE 2006 tertiaire et ERP",,"2033-05-22",2.2,,"dpe tertiaire vierge",,,,,,,1988,"5ème Catégorie","1983-1988","W : Administrations, banques, bureaux",0,91.6,100,,"24 TER AVENUE D'AUBIÈRE","Cournon-d'Auvergne","63124","24ter","63124_0035_00024_ter","24ter avenue d'Aubière 63800 Cournon-d'Auvergne","63800",0.83,"avenue d'Aubière",712942.36,6516058.35,63800,0,,"002ER459997",,,"adresse non géocodée ban car aucune correspondance trouvée","COURNON-D'AUVERGNE","63","84",,,,,,,,,,,,,,,,,,
"2269T2615953W","2022-11-05","2022-11-05","2022-10-20","DPE 2006 tertiaire et ERP",,"2032-11-04",2.2,,"dpe tertiaire facture",,,"C","C",159.3,23.8,1979,"5ème Catégorie","1978-1982","U : Établissements de soins",0,135.9,100,,"707 route de la Condamine
CENTRE MEDICAL GERMAINE REVEL","Chabanière","69228","707","69228_0086_00707","707 Route de la Condamine 69440 Chabanière","69440",0.51,"Route de la Condamine",828010.81,6499110.54,69440,0,,"041122/56101",,,"adresse géocodée ban à l'adresse","CHABANIERE","69","84",14565.8,14565.8,"Gaz naturel","périmètre de l'usage inconnu",1620,2021,4024,9255.2,"Électricité","périmètre de l'usage inconnu",1167,2021,,,,,,
"2360T0127880L","2023-01-16","2023-01-16","2023-01-06","DPE 2006 tertiaire et ERP",,"2033-01-15",2.2,,"dpe tertiaire vierge",,,,,,,1900,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",500,,123,,"Yvonne Genty","Blacourt","60073","7","60073_0075_00007","7 Place Yvonne Genty 60650 Blacourt","60650",0.94,"Place Yvonne Genty",617387.3,6930052.21,60650,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","BLACOURT","60","32",,,,,,,,,,,,,,,,,,
"2271T0492563C","2022-03-11","2022-03-11","2022-03-11","DPE 2006 tertiaire et ERP",,"2032-03-10",2,,"dpe tertiaire vierge",,,,,,,1948,,"avant 1948","M : Magasins de vente, centres commerciaux",1,140,140,,"14 RUE DES HALLES / 9 RUE BASSE","Montcenis","71309","14","71309_0070_00014","14 Rue Basse 71710 Montcenis","71710",0.55,"Rue Basse",805914.91,6633124.55,71710,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","MONTCENIS","71","27",,,,,,,,,,,,,,,,,,
"2231T0461783S","2022-03-08","2022-03-08","2022-03-08","DPE 2006 tertiaire et ERP",,"2032-03-07",2.1,,"dpe tertiaire facture",,,"C","A",102.3,2.8,1989,"5ème Catégorie","1989-2000","W : Administrations, banques, bureaux",2,151.2,100,,"26 All. Charles de Fitte
 Local commercial 1","Toulouse","31555","26","31555_1920_00026","26 Allées Charles de Fitte 31300 Toulouse","31300",0.82,"Allées Charles de Fitte",573425.19,6278619.05,31300,0,,,,,"adresse géocodée ban à l'adresse","TOULOUSE","31","76",7403,17026.9,"Électricité","périmètre de l'usage inconnu",2147,2022,,,,,,,,,,,,
"2235T0340679A","2022-02-21","2022-02-21","2022-02-21","DPE 2006 tertiaire et ERP",,"2032-02-20",2.1,,"dpe tertiaire vierge",,,,,,,1978,"5ème Catégorie","1978-1982","M : Magasins de vente, centres commerciaux",0,95.7,100,,"20 rue d'Isly","Rennes","35238","20","35238_4580_00020","20 Rue dâ€ Isly 35000 Rennes","35000",0.68,"Rue dâ€ Isly",352018.66,6788642.91,35000,0,,,,"Rdc","adresse géocodée ban à l'adresse","RENNES","35","53",,,,,,,,,,,,,,,,,,
"2217T0321604R","2022-02-17","2022-02-17","2022-02-16","DPE 2006 tertiaire et ERP",,"2032-02-16",2.1,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","N : Restaurants et débits de boisson",0,70,100,,"28 place de la République - Local","Aigrefeuille-d'Aunis","17003","28","17003_0100_00028","28 Place de la République 17290 Aigrefeuille-d'Aunis","17290",0.56,"Place de la République",396373.1,6565032.26,17290,0,,,,"RDC","adresse géocodée ban à l'adresse","AIGREFEUILLE D AUNIS","17","75",,,,,,,,,,,,,,,,,,
"2331T0921359T","2023-03-20","2023-03-20","2023-03-20","DPE 2006 tertiaire et ERP","2331T0921339Z","2033-03-19",2.2,,"dpe tertiaire facture",,,"C","A",111.1,3.1,,"3ème Catégorie","1989-2000","T : Salles d'exposition à vocation commerciale",20,1328,100,,"1 rue du champ du moulin 
ZA du Moulin","Pinsaguel","31420","1","31420_0810_00001","1 Route de Roquettes 31120 Pinsaguel","31120",0.48,"Route de Roquettes",568957.68,6268881.75,31120,0,,"31041979",,,"adresse géocodée ban à l'adresse","ROQUETTES","31","76",70562.3,162293.4,"Électricité","périmètre de l'usage inconnu",20468.3,2023,,,,,,,,,,,,
"2193T0221789N","2021-08-05","2021-08-05","2021-08-05","DPE 2006 tertiaire et ERP",,"2031-08-04",1,,,,,"D","C",189,19,1995,"1ère Catégorie","1989-2000","autres tertiaires non ERP",1,14151.5,14151.5,"Gaz naturel","51/53 Commandant Rolland","Le Bourget","93013",,"93013_1490","Rue du Commandant Rolland 93350 Le Bourget","93350",0.63,"Rue du Commandant Rolland",658569.82,6870454.87,93350,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","LE BOURGET","93","11",750700,122,"Électricité","Chauffage",118760.7,2020,947682,67,"Gaz naturel","Chauffage",44825,2020,,,,,,
"2291T2483783G","2022-10-23","2022-10-23","2022-10-14","DPE 2006 tertiaire et ERP",,"2032-10-22",2.2,,"dpe tertiaire facture",,,"F","C",709.1,19.7,1970,"5ème Catégorie","1948-1974","autres tertiaires non ERP",10,1907.8,100,,"15 Chemin des Mousseaux","Vigneux-sur-Seine","91657","15","91657_2340_00015","15 Chemin des Mousseaux 91270 Vigneux-sur-Seine","91270",0.62,"Chemin des Mousseaux",656933.72,6844421.83,91270,0,,"22/IMO/0203",,"916577","adresse géocodée ban à l'adresse","VIGNEUX SUR SEINE","91","11",647026.3,1488160.6,"Électricité","périmètre de l'usage inconnu",76192,2022,,,,,,,,,,,,
