id;code_dep_code_com;no_voie;b_t_q;type_voie;voie;surface_carrez;surface_reelle;nb_pieces;type_local
1;01 - 103;347;;RUE;DU CHATEAU;48,22;48;3;Appartement
2;06 - 4;4;;BD;EDOUARD BAUDOIN;39,11;40;1;Appartement
3;06 - 88;20;B;RUE;MARCEAU;80,25;82;3;Appartement
4;06 - 123;550;;RTE;DES VESPINS RN7;27,51;27;1;Appartement
5;13 - 5;9300;;RES;LES ARPEGES BD DES ABA;47,33;47;2;Appartement
6;13 - 28;27;;RUE;DU GRAND MADIER;25,31;24;1;Appartement
7;13 - 208;360;;AV;DU PRADO;70,84;70;3;Appartement
8;13 - 212;5076;F;PARC;DESSUARD;67,19;66;3;Appartement
9;14 - 338;1194;;RUE;DE NORMANDIE;18,89;19;1;Appartement
10;14 - 366;30;;ALL;DES NOISETIERS;105,37;99;4;Maison
11;17 - 300;11;;RUE;ROUGET DE L ISLE;31,99;34;2;Appartement
12;25 - 56;13;;RUE;BERTHE MORISOT;96,21;100;5;Maison
13;29 - 232;1;;RUE;DU POHER;30,86;31;1;Appartement
14;29 - 260;2;;RUE;DES JARDINS;66,21;67;3;Appartement
15;31 - 555;5;;AV;DU COMMANDANT TAILLANDIER;45,58;46;2;Appartement
16;33 - 63;15;;RUE;PAUL DENUCE;23,2;27;1;Appartement
17;33 - 63;176;;RUE;SAINTE CATHERINE;13,1;12;1;Appartement
18;33 - 97;822;G;;LA BAYNASSE SUD;29;29;2;Appartement
19;33 - 449;9;;RUE;DE BELFORT;51,4;51;2;Appartement
20;34 - 145;183;;RUE;MARC ANTOINE MENARD;16,79;18;1;Appartement
21;34 - 150;50;;AV;ANDRE CHASSEFIERE;51,4;51;2;Appartement
22;34 - 199;8;;PL;DES ETATS DU LANGUEDOC;68,22;85;3;Appartement
23;37 - 156;7;;RUE;JEAN-JACQUES ROUSSEAU;88,45;89;4;Maison
24;37 - 261;197;;AV;DE GRAMMONT;42,94;46;2;Appartement
25;38 - 185;48;;BD;MAL FOCH;76,48;77;4;Appartement
26;40 - 266;210;;RTE;DU TAILLEUR;48,23;53;3;Maison
27;40 - 328;199;;RES;MER ET GOLF-LE BOUCANIER;49,91;48;2;Appartement
28;44 - 143;3;;ALL;JEAN PERRIN;46,3;45;2;Appartement
29;44 - 184;12;;RUE;FERDINAND BUISSON;47,24;48;2;Appartement
30;51 - 230;35;;AV;DE CHAMPAGNE;81,09;79;4;Appartement
31;54 - 395;26;;RUE;MESSIER;39,69;39;2;Appartement
32;56 - 161;5794;;;GOLF SAINT LAURENT;43,85;44;3;Appartement
33;58 - 194;5;;RUE;DE PRUNEVEAUX;108,78;124;4;Appartement
34;59 - 512;118;;BD;DU GENERAL DE GAULLE;89,84;71;3;Appartement
35;60 - 57;247;;RUE;DE NOTRE DAME DU THIL;48,35;48;2;Appartement
36;60 - 155;34;;RUE;DE LA VILLE;19,11;18;1;Appartement
37;60 - 159;15;;SQ;JEAN BAPTISTE CLEMENT;97,39;97;5;Appartement
38;60 - 524;84;;AV;JEAN JAURES;31,73;32;1;Appartement
39;69 - 149;54;;RUE;DE LA BUSSIERE;49,89;51;2;Appartement
40;69 - 384;15;;RUE;ARTAUD;20,02;20;1;Appartement
41;74 - 119;1;;AV;D ABONDANCE;34,86;33;2;Appartement
42;74 - 236;950;;AV;DU MONT D ARBOIS;39,05;39;2;Appartement
43;74 - 238;110;;RTE;DE LA TELECABINE;18,93;20;1;Appartement
44;74 - 278;2308;;AV;DES VALLEES;88,59;88;4;Appartement
45;75 - 105;22;;BD;SAINT MARCEL;30,05;41;2;Appartement
46;75 - 110;45;;BD;DE MAGENTA;32,3;32;2;Appartement
47;75 - 111;14;;AV;DE LA REPUBLIQUE;120,28;120;4;Appartement
48;75 - 111;160;;RUE;SAINT MAUR;17,94;28;2;Appartement
49;75 - 111;11;;RUE;DU MOULIN JOLY;28,39;28;2;Appartement
50;75 - 112;36;;RUE;ERARD;18;41;2;Appartement
51;75 - 112;220;;RUE;DE CHARENTON;51,44;51;3;Appartement
52;75 - 112;17;;RUE;D AUSTERLITZ;10,06;10;1;Appartement
53;75 - 115;60;A;RUE;EMERIAU;88,3;88;4;Appartement
54;75 - 118;4;;RUE;SQUARE CARPEAUX;23,98;18;1;Appartement
55;75 - 118;36;;AV;DE CLICHY;53,59;39;2;Appartement
56;75 - 118;68;;RUE;MARCADET;24,3;25;2;Appartement
57;76 - 217;16;;AV;ALEXANDRE ANQUETIN;61,52;59;4;Appartement
58;76 - 451;5;;PARC;DE LA BRESLE;57,27;58;3;Appartement
59;76 - 655;4;;RUE;FRANCOIS LAPERT;23,98;25;1;Appartement
60;77 - 118;5;B;RUE;DE LA SOLIDARITE;35,32;40;2;Appartement
61;78 - 350;4;;ALL;HELENE LAZAREFF;89,41;89;4;Appartement
62;78 - 423;1;;AV;DE DENTON;106,19;107;5;Appartement
63;78 - 545;15;;RUE;ROBERT DESNOS;67,76;70;4;Appartement
64;78 - 545;1;;RUE;MAL DE LATTRE DE TASSIGNY;40,55;40;2;Appartement
65;78 - 551;53;;RUE;DE MAREIL;84,31;142;5;Appartement
66;78 - 586;1;;RUE;MAETERLINCK;74;74;3;Appartement
67;78 - 640;2;;RUE;DIVISION LECLERC;49,16;48;2;Appartement
68;83 - 62;;;;LES SAVELS;50,74;50;2;Appartement
69;83 - 69;31;;AV;DE LA SABLIERE CAPTE;20,15;20;1;Appartement
70;83 - 112;9100;;RES;LE GRAND SOLEIL;47,52;38;2;Appartement
71;83 - 123;8;;ALL;DES PAQUERETTES;86,92;91;5;Maison
72;84 - 7;43;;RUE;CAMPANE;37,24;40;2;Appartement
73;85 - 47;78;;RUE;CARNOT;43,12;45;2;Appartement
74;86 - 62;20;B;ALL;DU HAUT POITOU;30,42;30;1;Appartement
