id;id_bien;date;valeur
1;1;02/01/2020;165000
2;2;02/01/2020;355680
3;3;02/01/2020;229500
4;4;02/01/2020;125000
5;5;02/01/2020;90000
6;6;02/01/2020;93000
7;7;02/01/2020;298100
8;8;02/01/2020;163500
9;9;02/01/2020;53000
10;10;02/01/2020;136000
11;11;02/01/2020;125900
12;12;02/01/2020;234000
13;13;02/01/2020;46210
14;14;02/01/2020;129000
15;15;02/01/2020;122500
16;16;02/01/2020;86025
17;17;02/01/2020;79000
18;18;02/01/2020;81795
19;19;02/01/2020;156000
20;20;02/01/2020;139900
21;21;02/01/2020;163870
22;22;02/01/2020;108100
23;23;02/01/2020;205000
24;24;02/01/2020;94000
25;25;02/01/2020;149500
26;26;02/01/2020;111500
27;27;02/01/2020;140000
28;28;02/01/2020;122850
29;29;02/01/2020;135850
30;30;02/01/2020;135500
31;31;02/01/2020;71250
32;32;02/01/2020;107000
33;33;02/01/2020;148400
34;34;02/01/2020;132000
35;35;02/01/2020;107194
36;36;02/01/2020;57200
37;37;02/01/2020;124770
38;38;02/01/2020;67000
39;39;02/01/2020;150830
40;40;02/01/2020;68900
41;41;02/01/2020;120000
42;42;02/01/2020;135460
43;43;02/01/2020;62000
44;44;02/01/2020;281000
45;45;02/01/2020;357000
46;46;02/01/2020;374000
47;47;02/01/2020;1147650
48;48;02/01/2020;145000
49;49;02/01/2020;324120
50;50;02/01/2020;408220
51;51;02/01/2020;582670
52;52;02/01/2020;80000
53;53;02/01/2020;840250
54;54;02/01/2020;266000
55;55;02/01/2020;473000
56;56;02/01/2020;207200
57;57;02/01/2020;49000
58;58;02/01/2020;101250
59;59;02/01/2020;35000
60;60;02/01/2020;132000
61;61;02/01/2020;472950
62;62;02/01/2020;478161
63;63;02/01/2020;153700
64;64;02/01/2020;155800
65;65;02/01/2020;624000
66;66;02/01/2020;135700
67;67;02/01/2020;196000
68;68;02/01/2020;172850
69;69;02/01/2020;120500
70;70;02/01/2020;224000
71;71;02/01/2020;367000
72;72;02/01/2020;132840
73;73;02/01/2020;78500
74;74;02/01/2020;72000
75;75;02/01/2020;107100
76;76;02/01/2020;134000
77;77;02/01/2020;68181
78;78;02/01/2020;275900
79;79;02/01/2020;160000
80;80;02/01/2020;267740
81;81;02/01/2020;395300
82;82;02/01/2020;269000
83;83;02/01/2020;406400
84;84;02/01/2020;326500
85;85;02/01/2020;275050
86;86;02/01/2020;138000
87;87;02/01/2020;65000
88;88;02/01/2020;185750
89;89;02/01/2020;235000
90;90;02/01/2020;176000
91;91;02/01/2020;140000
92;92;02/01/2020;170950
93;93;02/01/2020;265000
94;94;02/01/2020;112000
95;95;03/01/2020;102000
96;96;03/01/2020;142000
97;97;03/01/2020;164000
98;98;03/01/2020;33880
99;99;03/01/2020;71000
100;100;03/01/2020;43000
101;101;03/01/2020;181875
102;102;03/01/2020;240250
103;103;03/01/2020;616900
104;104;03/01/2020;212550
105;105;03/01/2020;317800
106;106;03/01/2020;420000
107;107;03/01/2020;44000
108;108;03/01/2020;237720
109;109;03/01/2020;146000
110;110;03/01/2020;69350
111;111;03/01/2020;121000
112;112;03/01/2020;70000
113;113;03/01/2020;145000
114;114;03/01/2020;43000
115;115;03/01/2020;210800
116;116;03/01/2020;210000
117;117;03/01/2020;96000
118;118;03/01/2020;135000
119;119;03/01/2020;37000
120;120;03/01/2020;190000
121;121;03/01/2020;39450
122;122;03/01/2020;28500
123;123;03/01/2020;158800
124;124;03/01/2020;268800
125;125;03/01/2020;96450
126;126;03/01/2020;28000
127;127;03/01/2020;73470
128;128;03/01/2020;49500
129;129;03/01/2020;67000
130;130;03/01/2020;176000
131;131;03/01/2020;278300
132;132;03/01/2020;296651
133;133;03/01/2020;159500
134;134;03/01/2020;98545
135;135;03/01/2020;98200
136;136;03/01/2020;110500
137;137;03/01/2020;44500
138;138;03/01/2020;332000
139;139;03/01/2020;221060
140;140;03/01/2020;174845
141;141;03/01/2020;42000
142;142;03/01/2020;445000
143;143;03/01/2020;232750
144;144;03/01/2020;257800
145;145;03/01/2020;125000
146;146;03/01/2020;104793
147;147;03/01/2020;146000
148;148;03/01/2020;174000
149;149;03/01/2020;110000
150;150;03/01/2020;370700
151;151;03/01/2020;62800
152;152;03/01/2020;251105
153;153;03/01/2020;342700
154;154;03/01/2020;65000
155;155;03/01/2020;133000
156;156;03/01/2020;66370
157;157;03/01/2020;594700
158;158;03/01/2020;71000
159;159;03/01/2020;140000
160;160;03/01/2020;112000
161;161;03/01/2020;121000
162;162;03/01/2020;109950
163;163;03/01/2020;314500
164;164;03/01/2020;167600
165;165;03/01/2020;157080
166;166;03/01/2020;164720
167;167;03/01/2020;273080
168;168;03/01/2020;118650
169;169;03/01/2020;157000
170;170;03/01/2020;63885
171;171;03/01/2020;255000
172;172;03/01/2020;445000
173;173;03/01/2020;852000
174;174;03/01/2020;335000
175;175;03/01/2020;278500
176;176;03/01/2020;497270
177;177;03/01/2020;1469500
178;178;03/01/2020;270000
179;179;03/01/2020;434000
180;180;03/01/2020;352000
181;181;03/01/2020;512000
182;182;03/01/2020;246150
183;183;03/01/2020;573721
184;184;03/01/2020;917350
185;185;03/01/2020;625500
186;186;03/01/2020;673315
187;187;03/01/2020;707350
188;188;03/01/2020;461200
189;189;03/01/2020;502700
190;190;03/01/2020;276000
191;191;03/01/2020;638000
192;192;03/01/2020;196500
193;193;03/01/2020;34500
194;194;03/01/2020;116000
195;195;03/01/2020;93200
196;196;03/01/2020;142000
197;197;03/01/2020;98000
198;198;03/01/2020;172500
199;199;03/01/2020;141000
200;200;03/01/2020;440000
201;201;03/01/2020;131600
202;202;03/01/2020;205000
203;203;03/01/2020;93800
204;204;03/01/2020;135450
205;205;03/01/2020;102000
206;206;03/01/2020;185000
207;207;03/01/2020;196100
208;208;03/01/2020;212231
209;209;03/01/2020;113000
210;210;03/01/2020;331000
211;211;03/01/2020;93000
212;212;03/01/2020;596370
213;213;03/01/2020;97000
214;214;03/01/2020;305000
215;215;03/01/2020;99840
216;216;03/01/2020;150020
217;217;03/01/2020;300000
218;218;03/01/2020;121000
219;219;03/01/2020;148570
220;220;03/01/2020;105840
221;221;03/01/2020;138000
