USER_ID,PATH_CATEGORY_NAME,AGE_GROUP,GENDER,REGION,YEAR_PATH_STARTED
U-4510146189133097827,Data,30-34 ans,F,Île-de-France,2025
U-3523981388172716996,Data,60 ans ou plus,M,Île-de-France,2023
U-554277309782049638,Data,30-34 ans,,Hauts-de-France,2023
U682607025783480308,Data,50-54 ans,,Île-de-France,2023
U437613285573805637,Data,25-29 ans,M,Hauts-de-France,2025
U-4482262213744839422,Data,40-44 ans,M,Auvergne-Rhône-Alpes,2025
U-2562732802084378413,Data,35-39 ans,F,Île-de-France,2023
U-6176528868810385931,Data,45-49 ans,M,Île-de-France,2024
U-1954461118288915668,Data,30-34 ans,M,Centre-Val de Loire,2022
U4330436167950632396,Data,25-29 ans,M,Île-de-France,2024
U8742999110400778647,Data,25-29 ans,,Île-de-France,2023
U-1038623501391385032,Data,30-34 ans,M,Île-de-France,2025
U6409395407151835600,Data,30-34 ans,,Île-de-France,2023
U7285653395317318525,Data,40-44 ans,,Provence-Alpes-Côte d'Azur,2023
U-2577037013509769842,Data,50-54 ans,,Provence-Alpes-Côte d'Azur,2022
U-6705995222568599860,Data,40-44 ans,,Île-de-France,2022
U-5012470742624196991,Data,30-34 ans,M,Provence-Alpes-Côte d'Azur,2025
U-2285790741378855568,Data,45-49 ans,F,Île-de-France,2024
U7333026495563049637,Data,40-44 ans,F,DROM,2023
U3108149232846304046,Data,25-29 ans,M,Nouvelle-Aquitaine,2024
U5449854078891567249,Data,25-29 ans,M,Île-de-France,2023
U-2579201481824781196,Data,25-29 ans,M,Île-de-France,2025
U-2786761077479710477,Data,35-39 ans,F,Île-de-France,2023
U-1276635138761807736,Data,30-34 ans,,Pays de la Loire,2025
U2377688757295432363,Data,20-24 ans,M,Bourgogne-Franche-Comté,2025
U4736038541600033741,Data,40-44 ans,M,Nouvelle-Aquitaine,2022
U7727399373800778727,Data,60 ans ou plus,M,Nouvelle-Aquitaine,2022
U78881344309435222,Data,30-34 ans,F,Île-de-France,2025
U7583508208953723534,Data,25-29 ans,,Occitanie,2022
U7028964639755922329,Data,25-29 ans,M,Île-de-France,2024
U-1840478537786353397,Data,50-54 ans,M,Nouvelle-Aquitaine,2024
U3334342965201803068,Data,30-34 ans,M,Île-de-France,2022
U-5455119065912581133,Data,30-34 ans,M,Auvergne-Rhône-Alpes,2025
U6077957264784643476,Data,35-39 ans,M,Hauts-de-France,2025
U-8592234804862608278,Data,40-44 ans,M,Île-de-France,2024
U-6543309184691144401,Data,30-34 ans,,Île-de-France,2022
U523221840298631451,Data,30-34 ans,M,Île-de-France,2025
U3976077707668108582,Data,30-34 ans,M,Île-de-France,2023
U6976332045730738792,Data,30-34 ans,M,Grand Est,2022
U-1919327857523378709,Data,40-44 ans,F,Île-de-France,2022
U-2168372580118356369,Data,30-34 ans,M,Île-de-France,2024
U-2379936785983627400,Data,40-44 ans,F,Nouvelle-Aquitaine,2024
U-7611325315656066517,Data,40-44 ans,F,Île-de-France,2022
U714498563845794596,Data,35-39 ans,F,Hauts-de-France,2022
U-8446898164016289355,Data,50-54 ans,M,Auvergne-Rhône-Alpes,2025
U2956285968847024451,Data,25-29 ans,M,Île-de-France,2023
U8651106692906883409,Data,25-29 ans,M,Hauts-de-France,2024
U6507580417621326356,Data,30-34 ans,,Île-de-France,2022
U-7623034717906034450,Data,30-34 ans,M,Provence-Alpes-Côte d'Azur,2022
U-5601535244593580789,Data,25-29 ans,,Île-de-France,2022
U8485175910105650487,Data,45-49 ans,,Île-de-France,2022
U-6724094437529261247,Data,35-39 ans,M,Normandie,2022
U5432348330519031819,Data,40-44 ans,M,Grand Est,2023
U6471816025287848571,Data,35-39 ans,,Île-de-France,2025
U1771956093090975753,Data,30-34 ans,,Bretagne,2023
U4683513144925747474,Data,25-29 ans,M,Hauts-de-France,2024
