Regions;Genre;Annee;0 a 4 ans;5 a 9 ans;10 a 14 ans;15 a 19 ans;20 a 24 ans;25 a 29 ans;30 a 34 ans;35 a 39 ans;40 a 44 ans;45 a 49 ans;50 a 54 ans;55 a 59 ans;60 a 64 ans;65 a 69 ans;70 a 74 ans;75 a 79 ans;80 a 84 ans;85 a 89 ans;90 a 94 ans;95 ans et plus;Total
Auvergne-Rhône-Alpes;M;2022;222 665;252 034;264 490;259 004;239 255;229 782;247 295;254 980;255 076;261 532;267 934;260 661;233 265;211 650;201 094;138 648;91 708;58 193;23 958;5 394;3 978 618
Bourgogne-Franche-Comté;M;2022;68 806;79 600;87 032;87 121;77 847;71 275;76 158;80 583;82 106;86 369;93 561;93 211;90 517;85 794;83 360;54 006;36 076;23 301;9 653;2 206;1 368 582
Bretagne;M;2022;84 530;97 898;108 262;107 637;97 043;86 968;93 119;98 865;103 643;110 035;113 178;111 645;109 509;103 806;97 950;60 491;41 115;27 363;10 653;2 218;1 665 928
Centre-Val-de-Loire;M;2022;66 716;76 393;82 814;81 183;68 680;63 579;70 117;73 397;75 290;80 214;85 959;84 364;80 215;76 531;73 725;47 748;32 175;22 443;9 400;2 208;1 253 151
Corse;M;2022;8 069;9 170;9 817;9 063;8 131;8 350;10 433;10 373;11 411;11 263;12 318;11 579;11 395;10 911;10 661;7 492;5 420;3 029;1 206;235;170 326
Grand Est;M;2022;139 760;160 963;172 011;172 447;165 884;156 316;166 340;170 597;170 271;174 486;185 608;187 667;176 274;161 030;145 810;88 599;63 051;38 726;14 935;3 019;2 713 794
Hauts-de-France;M;2022;167 173;195 217;206 781;204 381;186 248;167 168;179 837;188 234;186 844;190 618;191 932;186 952;173 910;155 988;143 385;84 276;51 427;32 873;13 513;2 783;2 909 540
Île-de-France;M;2022;374 924;401 819;408 855;396 868;410 020;415 647;436 749;418 794;413 734;411 669;387 897;369 531;310 553;250 581;227 214;155 171;100 813;63 485;27 163;7 203;5 988 690
Normandie;M;2022;86 121;99 064;107 489;107 023;94 648;86 310;93 536;98 057;98 210;101 654;107 430;107 398;105 211;98 944;92 522;57 384;37 481;25 320;10 233;2 303;1 616 338
Nouvelle-Aquitaine;M;2022;140 041;163 109;179 557;180 065;164 944;150 388;164 607;173 221;182 141;192 658;201 275;201 205;195 078;191 067;185 076;120 998;79 302;55 909;23 074;5 310;2 949 025
Occitanie;M;2022;148 418;169 846;183 314;185 415;173 775;161 274;169 648;175 287;182 583;185 979;197 135;196 716;187 533;178 019;172 811;117 694;76 194;52 762;22 035;5 170;2 941 608
Pays de la Loire;M;2022;102 896;118 714;129 594;129 750;112 221;102 069;111 092;116 874;121 601;125 732;125 268;120 546;113 821;108 665;102 646;63 538;43 514;30 241;12 444;3 062;1 894 288
Provence-Alpes-Côte d'Azur;M;2022;130 522;146 161;154 119;147 625;139 803;130 652;144 254;149 106;154 003;157 331;166 314;168 350;155 577;144 731;141 502;105 390;70 124;45 177;19 279;4 738;2 474 758
Guadeloupe;M;2022;9 505;10 870;12 338;13 026;9 668;7 398;7 684;7 874;8 316;11 187;12 944;14 658;13 932;11 748;9 535;6 642;4 168;2 629;903;378;175 403
Martinique;M;2022;7 952;9 525;10 688;10 726;8 382;6 935;7 699;7 491;7 656;9 822;13 059;14 386;14 150;11 434;9 393;6 553;4 455;2 902;1 147;319;164 674
Guyane;M;2022;15 777;14 849;15 131;13 631;9 816;8 248;8 994;9 282;8 738;7 983;7 307;6 275;4 981;3 855;2 524;1 463;835;364;130;42;140 225
La Réunion;M;2022;28 556;32 778;34 950;33 708;25 011;21 609;23 961;24 605;25 744;26 942;30 505;31 342;25 821;20 870;13 999;9 493;5 727;3 013;1 007;287;419 928
Mayotte;M;2022;23 782;21 636;19 751;14 473;8 130;8 037;8 471;8 834;7 853;7 083;4 465;3 671;2 606;1 800;919;636;368;168;68;60;142 811
DOM;M;2022;85 572;89 658;92 858;85 564;61 007;52 227;56 809;58 086;58 307;63 017;68 280;70 332;61 490;49 707;36 370;24 787;15 553;9 076;3 255;1 086;1 043 041
Auvergne-Rhône-Alpes;F;2022;211 984;240 429;251 043;243 051;228 531;227 869;252 973;265 304;263 561;261 130;271 085;266 994;249 936;239 136;232 996;169 044;126 248;103 462;58 895;21 595;4 185 266
Bourgogne-Franche-Comté;F;2022;65 844;76 498;81 389;79 239;69 439;68 487;76 666;81 864;83 548;87 123;94 518;95 896;96 829;95 190;94 392;64 604;49 554;41 654;23 802;8 859;1 435 395
Bretagne;F;2022;79 976;92 972;103 218;100 894;88 059;83 474;92 960;100 341;104 997;108 917;114 041;114 499;116 783;115 156;114 703;76 806;60 371;51 255;28 043;9 452;1 756 917
Centre-Val-de-Loire;F;2022;62 869;73 453;79 226;74 356;63 649;62 933;72 900;76 920;77 852;82 218;88 106;87 537;86 114;85 610;84 506;58 195;44 557;37 797;21 427;8 221;1 328 446
Corse;F;2022;8 038;8 797;9 091;8 497;7 707;9 075;10 719;11 588;11 895;12 028;12 260;12 194;11 913;11 816;11 593;8 877;6 793;4 654;2 513;902;180 950
Grand Est;F;2022;133 408;152 797;163 069;161 690;153 260;151 462;168 006;175 546;173 190;175 778;187 809;193 756;188 876;179 718;166 370;108 084;89 826;72 137;38 548;12 955;2 846 285
Hauts-de-France;F;2022;160 955;185 948;197 399;192 362;180 743;167 340;184 679;194 611;190 967;192 319;194 384;194 380;188 312;181 665;172 579;109 494;81 791;69 031;37 806;12 611;3 089 376
Île-de-France;F;2022;360 754;381 572;392 234;382 611;422 554;438 011;465 599;450 961;434 771;414 197;403 221;393 487;341 374;296 957;275 630;191 908;141 811;113 201;65 158;26 263;6 392 274
Normandie;F;2022;82 900;95 300;102 107;98 159;88 936;85 394;95 173;101 931;100 250;104 152;110 009;112 927;113 778;112 077;108 327;71 903;55 688;47 820;26 522;9 383;1 722 736
Nouvelle-Aquitaine;F;2022;133 534;155 929;170 878;167 492;153 766;150 191;169 765;180 859;189 218;198 248;209 507;213 254;213 776;214 896;213 401;148 118;109 791;94 759;55 457;21 520;3 164 359
Occitanie;F;2022;141 491;162 338;174 518;174 105;165 787;159 618;176 199;184 360;190 696;192 843;205 697;208 809;203 872;198 702;198 344;143 125;103 352;86 194;50 053;19 020;3 139 123
Pays de la Loire;F;2022;97 179;112 968;123 750;120 346;104 598;100 624;111 621;119 787;122 673;124 709;125 881;123 747;122 901;120 647;119 379;78 789;61 759;52 189;29 848;11 533;1 984 928
Provence-Alpes-Côte d'Azur;F;2022;123 936;138 486;144 987;138 907;133 517;133 189;153 231;161 490;163 862;165 283;177 411;183 572;174 083;168 339;169 308;132 136;96 321;76 189;43 612;17 695;2 695 554
Guadeloupe;F;2022;9 008;10 650;11 794;12 517;9 199;9 018;10 754;11 400;12 188;15 135;16 759;17 630;15 096;13 840;11 722;8 533;5 654;4 195;2 118;956;208 166
Martinique;F;2022;8 132;9 064;10 272;10 330;8 139;8 426;10 386;10 841;10 499;12 883;16 366;17 412;15 816;13 926;11 387;8 219;6 470;4 384;2 310;1 083;196 345
Guyane;F;2022;15 298;14 655;15 016;13 729;10 381;10 118;10 493;10 843;9 906;8 405;7 551;6 490;5 185;3 726;2 640;1 628;1 076;636;230;151;148 157
La Réunion;F;2022;28 303;32 141;33 901;32 361;25 597;25 916;29 361;30 346;31 218;31 040;32 686;32 870;27 346;23 119;16 466;11 736;8 537;5 191;2 353;932;461 420
Mayotte;F;2022;23 298;22 341;20 315;15 458;11 194;11 926;12 038;11 061;8 847;6 358;4 268;3 411;2 315;1 569;984;701;371;210;76;82;156 823
DOM;F;2022;84 039;88 851;91 298;84 395;64 510;65 404;73 032;74 491;72 658;73 821;77 630;77 813;65 758;56 180;43 199;30 817;22 108;14 616;7 087;3 204;1 170 911
Auvergne-Rhône-Alpes;M;2023;218632;248148;266054;262673;240349;230913;248724;254929;259368;254865;271042;262845;235954;211740;199073;149901;92934;58646;24633;5447;3996870
Bourgogne-Franche-Comté;M;2023;66996;78708;86330;87449;78562;71416;76146;79638;83444;83446;93596;93807;90085;85286;82426;59038;35981;23393;9731;2172;1367650
Bretagne;M;2023;83567;96738;108073;108575;97142;88364;93617;98437;105237;106882;115362;111701;110068;105056;97522;67839;40351;27679;10956;2218;1675384
Centre-Val-de-Loire;M;2023;66169;75225;82539;81883;68938;64319;69682;73080;76140;77595;86220;84737;80108;75742;73395;52325;31763;22439;9523;2181;1254003
Corse;M;2023;8047;9042;10059;9165;8181;8330;10458;10441;11541;11025;12404;11883;11434;10936;10837;7688;5650;3096;1241;217;171675
Grand Est;M;2023;135936;158522;171583;173671;165962;156200;165680;169548;172810;169185;186265;186427;177112;160174;146354;96751;62352;39146;15459;3055;2712192
Hauts-de-France;M;2023;163071;190502;206829;204603;187492;166604;177744;186747;189538;185847;193496;186651;174338;155185;142940;94622;50637;32643;13788;2799;2906076
Île-de-France;M;2023;369880;390123;410555;400453;416143;417066;438217;419535;414697;404740;395238;369436;314223;251149;224282;167198;102614;64224;28063;7529;6005365
Normandie;M;2023;85373;96958;107159;107348;95268;86765;93525;97527;100239;97880;108188;107234;104681;98593;92415;63775;36749;25199;10500;2209;1617585
