YEAR,AGE_GROUP,DELTA_PCT
2024,20-24 ans,-2.39
2024,25-29 ans,15.88
2024,30-34 ans,12.23
2024,35-39 ans,8.23
2024,40-44 ans,0.77
2024,45-49 ans,-1.70
2024,50-54 ans,-5.80
2024,55-59 ans,-8.03
2024,60 ans ou plus,-19.17
2025,20-24 ans,-0.94
2025,25-29 ans,11.97
2025,30-34 ans,13.64
2025,35-39 ans,8.32
2025,40-44 ans,-0.23
2025,45-49 ans,-1.36
2025,50-54 ans,-5.42
2025,55-59 ans,-7.49
2025,60 ans ou plus,-18.51
2022,20-24 ans,-8.18
2022,25-29 ans,5.67
2022,30-34 ans,17.23
2022,35-39 ans,9.63
2022,40-44 ans,5.55
2022,45-49 ans,-1.63
2022,50-54 ans,-4.50
2022,55-59 ans,-6.86
2022,60 ans ou plus,-16.91
2023,20-24 ans,-7.04
2023,25-29 ans,12.40
2023,30-34 ans,17.70
2023,35-39 ans,6.63
2023,40-44 ans,2.59
2023,45-49 ans,-1.89
2023,50-54 ans,-5.09
2023,55-59 ans,-7.47
2023,60 ans ou plus,-17.80
