YEAR,REGION,DELTA_PCT
2022,Auvergne-Rhône-Alpes,-1.54
2023,Hauts-de-France,-2.50
2025,Bretagne,-1.76
2025,Île-de-France,23.54
2022,Normandie,-2.69
2022,Occitanie,-1.87
2024,Hauts-de-France,-1.64
2024,Provence-Alpes-Côte d'Azur,-1.50
2023,Île-de-France,36.48
2022,Bourgogne-Franche-Comté,-2.40
2025,Auvergne-Rhône-Alpes,-1.88
2024,Grand Est,-1.03
2022,Hauts-de-France,-1.88
2023,Grand Est,-3.62
2024,Bretagne,-1.36
2025,Nouvelle-Aquitaine,-3.38
2023,Pays de la Loire,-2.14
2024,Occitanie,-2.13
2025,Hauts-de-France,-2.12
2025,Normandie,-2.41
2025,Provence-Alpes-Côte d'Azur,1.33
2022,Grand Est,-2.31
2023,Bretagne,-2.01
2024,Normandie,-1.91
2023,Bourgogne-Franche-Comté,-2.49
2024,Bourgogne-Franche-Comté,-2.20
2025,Grand Est,-2.14
2022,Île-de-France,27.31
2022,Nouvelle-Aquitaine,-1.80
2023,Nouvelle-Aquitaine,-3.23
2023,Occitanie,-4.60
2025,Occitanie,-1.49
2023,Provence-Alpes-Côte d'Azur,-1.98
2024,Île-de-France,23.00
2024,Pays de la Loire,-2.36
2025,Pays de la Loire,-2.62
2023,Auvergne-Rhône-Alpes,-4.33
2024,Auvergne-Rhône-Alpes,-1.40
2025,Bourgogne-Franche-Comté,-1.94
2022,Pays de la Loire,-1.69
2022,Provence-Alpes-Côte d'Azur,-1.46
2024,Nouvelle-Aquitaine,-1.07
2022,Bretagne,-2.16
2023,Normandie,-1.87
2023,DROM,
2025,DROM,
2022,DROM,
2025,Centre-Val de Loire,
2023,Centre-Val de Loire,
2024,Centre-Val de Loire,
2022,Centre-Val de Loire,
2024,DROM,
