Heures d'accompagnement,Notes aux épreuves finales
93,17
74,13
73,14
74,15
32,6
67,12
51,11
34,8
55,10
82,15
30,6
84,15
89,16
63,10
61,10
73,13
90,15
72,13
39,7
86,14
52,11
79,14
72,13
62,10
55,10
88,16
77,13
91,17
33,6
85,15
76,13
64,13
32,7
48,8
66,13
48,8
42,8
32,5
49,8
32,7
77,15
88,16
43,8
52,10
96,16
72,13
92,16
53,11
57,11
42,7
73,14
45,8
48,9
69,13
74,14
41,9
55,10
79,14
72,13
71,14
78,14
67,12
88,15
63,11
87,16
89,17
66,12
70,14
79,15
65,12
31,7
39,9
64,12
64,13
52,8
94,17
67,12
74,13
48,9
34,5
85,15
85,16
39,9
44,8
60,11
96,17
64,13
51,10
48,9
81,15
68,13
43,9
58,10
38,7
94,16
46,8
89,16
69,13
80,15
34,7
86,14
38,7
79,14
36,7
71,13
55,11
72,15
32,7
74,14
39,8
76,12
61,11
63,12
95,19
43,8
41,8
57,11
60,10
67,13
95,18
73,14
51,9
67,14
36,6
92,17
47,11
56,10
38,7
62,12
41,8
93,15
59,11
73,12
95,17
60,10
57,12
84,15
93,16
49,10
48,8
81,15
33,8
53,9
31,7
73,14
82,15
79,13
37,6
80,15
82,15
32,7
76,14
75,13
52,10
60,11
88,15
35,9
44,9
79,13
61,12
42,7
95,18
49,10
45,8
79,15
61,12
49,10
74,15
62,11
30,6
64,11
32,6
58,11
88,16
36,7
36,8
45,9
63,13
58,11
76,16
45,9
87,15
88,15
60,12
52,10
76,14
70,13
96,17
39,7
59,10
34,7
48,10
40,8
88,15
49,10
51,10
82,14
77,14
36,7
32,6
47,9
70,13
80,15
73,14
47,8
78,13
49,10
50,10
33,7
47,12
37,8
63,13
90,17
77,15
32,6
86,16
80,14
71,13
77,14
88,16
54,12
60,10
55,11
42,7
92,16
76,15
91,16
86,15
56,10
48,10
48,9
38,8
45,9
36,7
44,10
42,9
37,6
32,7
32,6
38,8
37,7
91,16
82,15
61,12
75,13
90,16
88,15
61,11
94,18
61,12
91,15
44,9
83,17
95,18
59,10
77,14
55,11
71,12
37,8
48,10
48,8
37,7
86,13
93,16
34,7
68,12
69,14
57,10
65,12
44,9
65,13
78,13
46,10
46,9
62,11
80,15
40,8
33,6
91,16
68,12
79,14
77,15
42,10
71,12
58,13
