Spécialité 1,Genre du lycéen
Histoire-Géographie,H
Sciences Économiques et Sociales,F
Sciences Économiques et Sociales,H
Langues,F
Sciences de la Vie et de la Terre,F
Arts,H
Sciences Économiques et Sociales,H
Physique-Chimie,N
Mathématiques,H
Numérique et Sciences Informatiques,N
Numérique et Sciences Informatiques,N
Sciences Économiques et Sociales,F
Mathématiques,H
Langues,N
Numérique et Sciences Informatiques,H
Sciences Économiques et Sociales,N
Sciences Économiques et Sociales,N
Mathématiques,N
Arts,H
Philosophie,F
Sciences de la Vie et de la Terre,N
Histoire-Géographie,N
Physique-Chimie,H
Mathématiques,H
Langues,F
Langues,F
Numérique et Sciences Informatiques,N
Arts,N
Mathématiques,N
Philosophie,H
Humanités,H
Mathématiques,N
Mathématiques,H
Humanités,N
Arts,N
Physique-Chimie,N
Philosophie,F
Histoire-Géographie,F
Sciences de la Vie et de la Terre,N
Physique-Chimie,F
Humanités,F
Mathématiques,H
Physique-Chimie,N
Langues,F
Mathématiques,H
Mathématiques,N
Histoire-Géographie,H
Sciences de la Vie et de la Terre,N
Philosophie,N
Langues,F
Physique-Chimie,N
Langues,F
Humanités,F
Langues,H
Sciences Économiques et Sociales,H
Arts,N
Philosophie,H
Numérique et Sciences Informatiques,N
Histoire-Géographie,H
Sciences de la Vie et de la Terre,N
Mathématiques,H
Sciences de la Vie et de la Terre,N
Sciences de la Vie et de la Terre,H
Mathématiques,N
Humanités,N
Humanités,H
Langues,N
Numérique et Sciences Informatiques,H
Physique-Chimie,H
Physique-Chimie,H
Sciences Économiques et Sociales,F
Humanités,H
Langues,F
Physique-Chimie,N
Mathématiques,N
Sciences de la Vie et de la Terre,F
Arts,F
Physique-Chimie,N
Humanités,F
Numérique et Sciences Informatiques,H
Sciences de la Vie et de la Terre,H
Sciences de la Vie et de la Terre,H
Philosophie,F
Sciences de la Vie et de la Terre,F
Physique-Chimie,H
Physique-Chimie,H
Numérique et Sciences Informatiques,N
Philosophie,F
Philosophie,F
Philosophie,H
Mathématiques,F
Numérique et Sciences Informatiques,H
Histoire-Géographie,H
Physique-Chimie,H
Arts,F
Sciences Économiques et Sociales,F
Numérique et Sciences Informatiques,F
Humanités,F
Langues,F
Arts,H
Mathématiques,H
Histoire-Géographie,F
Arts,F
Mathématiques,N
Histoire-Géographie,N
Histoire-Géographie,N
Sciences de la Vie et de la Terre,N
Numérique et Sciences Informatiques,F
Arts,F
Sciences de la Vie et de la Terre,N
Sciences Économiques et Sociales,H
Philosophie,F
Sciences Économiques et Sociales,H
Philosophie,N
Sciences Économiques et Sociales,F
Humanités,F
Philosophie,F
Numérique et Sciences Informatiques,F
Sciences de la Vie et de la Terre,H
Numérique et Sciences Informatiques,H
Sciences Économiques et Sociales,N
Numérique et Sciences Informatiques,F
Numérique et Sciences Informatiques,H
Sciences de la Vie et de la Terre,N
Sciences de la Vie et de la Terre,H
Mathématiques,H
Langues,F
Mathématiques,N
Numérique et Sciences Informatiques,F
Physique-Chimie,H
Sciences Économiques et Sociales,H
Arts,N
Arts,H
Philosophie,F
Philosophie,H
Physique-Chimie,F
Arts,F
Mathématiques,N
Numérique et Sciences Informatiques,N
Sciences de la Vie et de la Terre,N
Mathématiques,F
Humanités,F
Sciences de la Vie et de la Terre,H
Humanités,H
Mathématiques,F
Arts,F
Mathématiques,F
Arts,F
Sciences Économiques et Sociales,H
Histoire-Géographie,F
Sciences Économiques et Sociales,H
Sciences Économiques et Sociales,H
Physique-Chimie,N
Mathématiques,H
Sciences de la Vie et de la Terre,H
Humanités,H
Physique-Chimie,F
Physique-Chimie,H
Humanités,H
Sciences Économiques et Sociales,N
Numérique et Sciences Informatiques,F
Sciences de la Vie et de la Terre,F
Mathématiques,N
Humanités,N
Arts,H
Sciences de la Vie et de la Terre,N
Arts,N
Numérique et Sciences Informatiques,H
Langues,N
Langues,F
Sciences Économiques et Sociales,N
Langues,H
Humanités,N
Philosophie,F
Sciences Économiques et Sociales,F
Numérique et Sciences Informatiques,N
Langues,H
Langues,H
Humanités,F
Sciences de la Vie et de la Terre,F
Mathématiques,N
Humanités,N
Humanités,H
Sciences de la Vie et de la Terre,F
Physique-Chimie,H
Sciences Économiques et Sociales,H
Numérique et Sciences Informatiques,N
Sciences de la Vie et de la Terre,F
Sciences Économiques et Sociales,N
Physique-Chimie,N
Histoire-Géographie,H
Langues,H
Mathématiques,F
Sciences de la Vie et de la Terre,H
Langues,H
Numérique et Sciences Informatiques,N
Humanités,N
Sciences Économiques et Sociales,F
Mathématiques,H
Humanités,H
Langues,H
Histoire-Géographie,N
Sciences Économiques et Sociales,N
Numérique et Sciences Informatiques,N
Sciences Économiques et Sociales,N
Mathématiques,H
Humanités,F
Sciences Économiques et Sociales,F
Mathématiques,H
Physique-Chimie,H
Histoire-Géographie,H
Arts,N
Numérique et Sciences Informatiques,N
Sciences de la Vie et de la Terre,F
Physique-Chimie,H
Mathématiques,N
Numérique et Sciences Informatiques,F
Humanités,F
Numérique et Sciences Informatiques,N
Langues,F
Mathématiques,H
Arts,N
Histoire-Géographie,F
Humanités,N
Physique-Chimie,F
Sciences Économiques et Sociales,H
Arts,H
Physique-Chimie,F
Sciences Économiques et Sociales,F
Physique-Chimie,H
Philosophie,F
Mathématiques,N
Sciences Économiques et Sociales,N
Sciences de la Vie et de la Terre,N
Philosophie,F
Sciences de la Vie et de la Terre,H
Numérique et Sciences Informatiques,N
Mathématiques,F
Histoire-Géographie,H
Numérique et Sciences Informatiques,N
Philosophie,F
Philosophie,N
Sciences Économiques et Sociales,N
Sciences de la Vie et de la Terre,H
Histoire-Géographie,F
Humanités,N
Mathématiques,H
Physique-Chimie,H
Philosophie,N
Humanités,N
Sciences Économiques et Sociales,F
Sciences de la Vie et de la Terre,N
Arts,H
Sciences Économiques et Sociales,H
Numérique et Sciences Informatiques,F
Numérique et Sciences Informatiques,N
Numérique et Sciences Informatiques,N
Numérique et Sciences Informatiques,N
Humanités,H
Arts,N
Histoire-Géographie,H
Humanités,N
Physique-Chimie,N
Sciences Économiques et Sociales,H
Histoire-Géographie,H
Sciences Économiques et Sociales,N
Mathématiques,N
Arts,F
Sciences de la Vie et de la Terre,F
Humanités,N
Arts,F
Langues,N
Philosophie,H
Mathématiques,N
Sciences Économiques et Sociales,F
Mathématiques,F
Histoire-Géographie,N
Arts,F
Mathématiques,N
Langues,F
Humanités,H
Mathématiques,H
Numérique et Sciences Informatiques,H
Humanités,H
Philosophie,H
Langues,N
Langues,N
Philosophie,N
Sciences Économiques et Sociales,F
Physique-Chimie,N
Sciences Économiques et Sociales,N
Mathématiques,F
Sciences de la Vie et de la Terre,H
Langues,H
Langues,F
Numérique et Sciences Informatiques,N
Langues,F
Mathématiques,F
Philosophie,F
Histoire-Géographie,H
Humanités,F
Sciences de la Vie et de la Terre,N
Humanités,H
Sciences Économiques et Sociales,H
Arts,N
Histoire-Géographie,H
Mathématiques,N
Arts,N
Mathématiques,F
Mathématiques,H
Sciences Économiques et Sociales,F
Mathématiques,H
Mathématiques,F
Numérique et Sciences Informatiques,N
Numérique et Sciences Informatiques,H
Numérique et Sciences Informatiques,H
Histoire-Géographie,F
Langues,H
Philosophie,H
Sciences de la Vie et de la Terre,F
Histoire-Géographie,F
Langues,H
Histoire-Géographie,H
Numérique et Sciences Informatiques,H
Sciences de la Vie et de la Terre,F
Langues,N
Arts,F
Philosophie,N
Langues,F
Numérique et Sciences Informatiques,N
Philosophie,F
Physique-Chimie,N
Philosophie,H
