Lycée,Catégorie,Note Moyenne
Lycée_1,Public,14.646078518951496
Lycée_2,Public,12.600235812550835
Lycée_3,Public,13.468106976158609
Lycée_4,Public,15.361339798802186
Lycée_5,Public,14.801336985224951
Lycée_6,Public,10.534083180185384
Lycée_7,Public,13.425132626288384
Lycée_8,Public,11.772964187553454
Lycée_9,Public,11.845171722309663
Lycée_10,Public,12.615897752907559
Lycée_11,Privé,14.144043571160879
Lycée_12,Privé,15.454273506962975
Lycée_13,Privé,14.761037725146993
Lycée_14,Privé,14.121675016492828
Lycée_15,Privé,14.443863232745425
Lycée_16,Privé,14.333674327374267
Lycée_17,Privé,15.494079073157605
Lycée_18,Privé,13.794841736234199
Lycée_19,Privé,14.313067701650901
Lycée_20,Privé,13.145904260698275
Lycée_21,International,13.447010184165922
Lycée_22,International,16.65361859544036
Lycée_23,International,16.864436198859504
Lycée_24,International,15.257834979593557
Lycée_25,International,18.26975462398761
Lycée_26,International,14.545634325401235
Lycée_27,International,16.045758517301447
Lycée_28,International,15.812816149974166
Lycée_29,International,17.532779214358456
Lycée_30,International,17.469358769900285
