ID_Client,âge,genre,type de voyage,destination,saison de voyage,durée de voyage (en jours),nombre de personnes,prix total,mode de paiement,évaluation sur 5,date de début de voyage,date de fin de voyage,période de voyage,budget voyage annuel
1,32,M,culturel,Bali,été,10,2,4425,Virement,3,07-12-2023,09-12-2023,07-12-2023 au 09-12-2023,6407
2,38,Autre,détente,Népal,printemps,11,1,5743,Carte de crédit,2,01-09-2023,03-09-2023,01-09-2023 au 03-09-2023,4226
3,39,Autre,détente,Norvège,hiver,15,2,9565,Virement,3,22-02-2024,23-02-2024,22-02-2024 au 23-02-2024,5144
4,49,Autre,aventure,Japon,printemps,16,2,9833,Virement,2,31-08-2023,03-09-2023,31-08-2023 au 03-09-2023,4307
5,23,M,aventure,Islande,été,8,4,2358,Paypal,3,29-08-2023,01-09-2023,29-08-2023 au 01-09-2023,4348
6,32,Autre,aventure,Costa Rica,automne,10,1,4442,Paypal,2,08-03-2024,09-03-2024,08-03-2024 au 09-03-2024,4536
7,33,Autre,culturel,Népal,hiver,5,4,105,Virement,3,19-05-2023,22-05-2023,19-05-2023 au 22-05-2023,5333
8,25,M,culturel,Costa Rica,automne,9,1,3173,Paypal,3,24-01-2024,27-01-2024,24-01-2024 au 27-01-2024,4282
9,53,Autre,culturel,Japon,hiver,6,1,902,Paypal,1,21-03-2023,25-03-2023,21-03-2023 au 25-03-2023,6884
10,34,M,culturel,Japon,hiver,10,3,4459,Paypal,1,13-06-2023,16-06-2023,13-06-2023 au 16-06-2023,3658
11,38,F,culturel,Népal,été,8,1,2360,Virement,3,16-05-2023,21-05-2023,16-05-2023 au 21-05-2023,4720
12,18,Autre,culturel,Islande,été,6,4,904,Paypal,1,14-03-2024,16-03-2024,14-03-2024 au 16-03-2024,4340
13,36,F,détente,Bali,été,13,2,8065,Paypal,2,20-04-2023,22-04-2023,20-04-2023 au 22-04-2023,7170
14,21,M,culturel,Népal,hiver,12,1,6925,Carte de crédit,4,25-09-2023,27-09-2023,25-09-2023 au 27-09-2023,5295
15,20,Autre,aventure,France,automne,8,3,2377,Virement,4,20-01-2024,21-01-2024,20-01-2024 au 21-01-2024,6548
16,22,M,culturel,Norvège,hiver,5,4,128,Virement,4,15-11-2023,16-11-2023,15-11-2023 au 16-11-2023,2772
17,34,F,culturel,Bali,automne,13,1,8068,Virement,5,16-05-2023,19-05-2023,16-05-2023 au 19-05-2023,5401
18,21,M,aventure,France,été,6,4,906,Paypal,2,18-08-2023,23-08-2023,18-08-2023 au 23-08-2023,6334
19,26,Autre,aventure,Norvège,hiver,14,3,8976,Paypal,3,02-06-2023,03-06-2023,02-06-2023 au 03-06-2023,5123
20,32,Autre,culturel,Bali,été,14,3,9003,Paypal,2,26-11-2023,28-11-2023,26-11-2023 au 28-11-2023,6598
21,26,F,culturel,Norvège,printemps,9,4,3175,Carte de crédit,2,20-11-2023,25-11-2023,20-11-2023 au 25-11-2023,4224
22,45,M,détente,Bali,hiver,8,1,2383,Virement,1,18-01-2024,21-01-2024,18-01-2024 au 21-01-2024,7114
23,22,Autre,culturel,Islande,printemps,11,2,5747,Carte de crédit,1,14-09-2023,15-09-2023,14-09-2023 au 15-09-2023,8448
24,40,F,culturel,Bali,hiver,10,3,4462,Virement,2,17-02-2024,20-02-2024,17-02-2024 au 20-02-2024,4456
25,33,Autre,détente,Bali,été,10,1,4469,Paypal,3,04-11-2023,07-11-2023,04-11-2023 au 07-11-2023,4332
26,37,Autre,aventure,Bali,hiver,11,1,5805,Carte de crédit,2,26-05-2023,30-05-2023,26-05-2023 au 30-05-2023,7180
27,44,M,culturel,Népal,automne,10,2,4469,Carte de crédit,3,17-07-2023,22-07-2023,17-07-2023 au 22-07-2023,7369
28,27,Autre,détente,France,hiver,7,3,1459,Paypal,3,29-03-2023,31-03-2023,29-03-2023 au 31-03-2023,4216
29,28,M,aventure,Népal,été,5,3,137,Virement,3,15-05-2023,20-05-2023,15-05-2023 au 20-05-2023,4370
30,37,Autre,détente,Bali,automne,8,1,2387,Virement,2,03-08-2023,04-08-2023,03-08-2023 au 04-08-2023,4577
31,39,F,culturel,Norvège,hiver,5,1,138,Virement,3,23-01-2024,28-01-2024,23-01-2024 au 28-01-2024,2983
32,25,Autre,aventure,Japon,hiver,13,2,8071,Carte de crédit,1,01-05-2023,04-05-2023,01-05-2023 au 04-05-2023,3622
33,38,M,détente,France,hiver,10,2,4476,Carte de crédit,3,05-12-2023,08-12-2023,05-12-2023 au 08-12-2023,3494
34,29,M,culturel,Bali,printemps,13,3,8081,Carte de crédit,4,16-04-2023,21-04-2023,16-04-2023 au 21-04-2023,3848
35,49,F,détente,France,hiver,9,4,3177,Carte de crédit,2,15-07-2023,20-07-2023,15-07-2023 au 20-07-2023,4948
37,49,Autre,détente,Népal,printemps,12,1,6955,Paypal,1,12-08-2023,14-08-2023,12-08-2023 au 14-08-2023,7326
38,28,F,détente,Japon,printemps,9,3,3224,Carte de crédit,2,27-01-2024,01-02-2024,27-01-2024 au 01-02-2024,3502
39,30,Autre,détente,Costa Rica,été,10,4,4481,Carte de crédit,3,09-05-2023,13-05-2023,09-05-2023 au 13-05-2023,6476
40,22,Autre,culturel,Bali,hiver,8,2,2391,Virement,4,31-12-2023,01-01-2024,31-12-2023 au 01-01-2024,4679
41,32,M,aventure,Népal,hiver,8,4,2399,Paypal,3,09-02-2024,12-02-2024,09-02-2024 au 12-02-2024,4926
42,25,Autre,aventure,Costa Rica,hiver,8,4,2399,Paypal,3,06-07-2023,11-07-2023,06-07-2023 au 11-07-2023,6012
43,23,Autre,culturel,Japon,printemps,8,4,2406,Virement,1,06-08-2023,10-08-2023,06-08-2023 au 10-08-2023,3316
44,45,F,culturel,Costa Rica,été,11,2,5818,Virement,2,05-03-2024,10-03-2024,05-03-2024 au 10-03-2024,5574
45,47,F,culturel,France,été,10,4,4487,Paypal,3,20-03-2023,23-03-2023,20-03-2023 au 23-03-2023,5250
46,32,M,aventure,Norvège,été,11,4,5823,Carte de crédit,2,24-10-2023,28-10-2023,24-10-2023 au 28-10-2023,5739
47,30,Autre,détente,Norvège,automne,7,4,1471,Paypal,4,23-12-2023,25-12-2023,23-12-2023 au 25-12-2023,5434
48,42,Autre,aventure,Costa Rica,été,9,1,3224,Virement,2,12-06-2023,15-06-2023,12-06-2023 au 15-06-2023,8683
49,24,Autre,culturel,France,été,12,4,6956,Carte de crédit,2,06-07-2023,07-07-2023,06-07-2023 au 07-07-2023,4043
50,24,M,culturel,Costa Rica,automne,15,2,9566,Carte de crédit,3,24-08-2023,28-08-2023,24-08-2023 au 28-08-2023,4204
52,45,F,culturel,Bali,automne,8,4,2409,Virement,3,22-10-2023,26-10-2023,22-10-2023 au 26-10-2023,4167
53,24,M,culturel,France,été,8,2,2454,Virement,3,06-08-2023,08-08-2023,06-08-2023 au 08-08-2023,4044
54,26,Autre,aventure,Islande,hiver,14,4,9036,Paypal,2,01-08-2023,05-08-2023,01-08-2023 au 05-08-2023,6784
55,18,Autre,culturel,France,hiver,5,2,160,Paypal,1,20-07-2023,25-07-2023,20-07-2023 au 25-07-2023,7131
56,61,M,aventure,Bali,printemps,13,4,8122,Carte de crédit,3,07-05-2023,09-05-2023,07-05-2023 au 09-05-2023,4144
