ID_Client,âge,genre,type de voyage,destination,saison de voyage,durée de voyage (en jours),nombre de personnes,prix total,mode de paiement,évaluation sur 5,date de début de voyage,date de fin de voyage,période de voyage,budget_voyage_annuel,durée moyenne de voyage annuelle (en jours)
1,32,M,Culturel,,été,10,2,4425,Virement,3,07-12-2023,09-12-2023,07-12-2023 au 09-12-2023,6407,4
2,38,Autre,détente,Népal,printemps,11,1,5743,Carte de crédit,2,01-09-2023,03-09-2023,01-09-2023 au 03-09-2023,4226,20
3,39,Autre,détente,Norvège,hiver,15,2,9565,Virement,3,22-02-2024,23-02-2024,22-02-2024 au 23-02-2024,5144,5
4,49,Autre,Aventure,Japon,printemps,16,2,9833,Virement,2,31-08-2023,03-09-2023,31-08-2023 au 03-09-2023,4307,19
5,23,M,Aventure,Islande,été,8,4,2358,Paypal,3,29-08-2023,01-09-2023,29-08-2023 au 01-09-2023,4348,10
6,32,Autre,aventure,Costa Rica,automne,10,1,4442,Paypal,2,08-03-2024,09-03-2024,08-03-2024 au 09-03-2024,4536,12
7,33,Autre,culturel,Népal,hiver,5,4,105,,3,19-05-2023,22-05-2023,19-05-2023 au 22-05-2023,5333,4
8,25,M,Culturel,Costa Rica,automne,9,1,3173,Paypal,3,24-01-2024,27-01-2024,24-01-2024 au 27-01-2024,4282,11
9,53,Autre,Culturel,Japon,hiver,6,1,902,Paypal,1,21-03-2023,25-03-2023,21-03-2023 au 25-03-2023,6884,9
10,34,M,,Japon,hiver,10,3,4459,Paypal,1,13-06-2023,16-06-2023,13-06-2023 au 16-06-2023,3658,6
11,38,F,Culturel,Népal,été,8,1,2360,Virement,3,16-05-2023,21-05-2023,16-05-2023 au 21-05-2023,4720,20
12,18,Autre,Culturel,Islande,été,6,4,904,Paypal,1,14-03-2024,16-03-2024,14-03-2024 au 16-03-2024,4340,15
13,36,F,Détente,Bali,été,13,2,8065,Paypal,2,20-04-2023,22-04-2023,20-04-2023 au 22-04-2023,7170,13
14,21,M,Culturel,Népal,hiver,12,1,6925,Carte de crédit,4,25-09-2023,27-09-2023,25-09-2023 au 27-09-2023,5295,6
15,20,Autre,Aventure,France,automne,8,3,2377,Virement,4,20-01-2024,21-01-2024,20-01-2024 au 21-01-2024,6548,6
16,22,M,Culturel,Norvège,hiver,5,4,128,Virement,4,15-11-2023,16-11-2023,15-11-2023 au 16-11-2023,2772,12
16,22,M,Culturel,Norvège,hiver,5,4,128,Virement,4,15-11-2023,16-11-2023,15-11-2023 au 16-11-2023,2772,7
17,34,F,Culturel,Bali,automne,13,1,8068,Virement,5,16-05-2023,19-05-2023,16-05-2023 au 19-05-2023,5401,11
18,21,M,aventure,France,été,6,4,906,Paypal,2,18-08-2023,23-08-2023,18-08-2023 au 23-08-2023,6334,5
19,26,Autre,Aventure,Norvège,hiver,14,3,8976,Paypal,3,02-06-2023,03-06-2023,02-06-2023 au 03-06-2023,5123,19
20,32,Autre,Culturel,Bali,été,14,3,9003,Paypal,2,26-11-2023,28-11-2023,26-11-2023 au 28-11-2023,6598,5
21,26,F,Culturel,Norvège,printemps,9,4,3175,Carte de crédit,2,20-11-2023,25-11-2023,20-11-2023 au 25-11-2023,4224,18
22,45,M,Détente,Bali,hiver,8,1,2383,,1,18-01-2024,21-01-2024,18-01-2024 au 21-01-2024,7114,6
23,22,Autre,Culturel,Islande,printemps,11,2,5747,Carte de crédit,1,14-09-2023,15-09-2023,14-09-2023 au 15-09-2023,8448,20
24,40,F,Culturel,Bali,hiver,10,3,4462,Virement,2,17-02-2024,20-02-2024,17-02-2024 au 20-02-2024,4456,19
25,33,Autre,Détente,Bali,été,10,1,4469,Paypal,3,04-11-2023,07-11-2023,04-11-2023 au 07-11-2023,4332,9
26,37,Autre,aventure,Bali,hiver,11,1,5805,Carte de crédit,2,26-05-2023,30-05-2023,26-05-2023 au 30-05-2023,7180,7
27,44,M,Culturel,Népal,automne,10,2,4469,Carte de crédit,3,17-07-2023,22-07-2023,17-07-2023 au 22-07-2023,7369,14
28,27,Autre,Détente,France,hiver,7,3,1459,Paypal,3,29-03-2023,31-03-2023,29-03-2023 au 31-03-2023,4216,19
29,28,M,Aventure,Népal,été,5,3,137,Virement,3,15-05-2023,20-05-2023,15-05-2023 au 20-05-2023,4370,15
30,37,Autre,détente,,automne,8,1,2387,Virement,2,03-08-2023,04-08-2023,03-08-2023 au 04-08-2023,4577,5
31,39,F,,Norvège,hiver,5,1,138,Virement,3,23-01-2024,28-01-2024,23-01-2024 au 28-01-2024,2983,11
32,25,Autre,Aventure,Japon,hiver,13,2,8071,Carte de crédit,1,01-05-2023,04-05-2023,01-05-2023 au 04-05-2023,3622,19
33,38,M,Détente,France,hiver,10,2,4476,Carte de crédit,3,05-12-2023,08-12-2023,05-12-2023 au 08-12-2023,3494,19
34,29,M,Culturel,Bali,printemps,13,3,8081,Carte de crédit,4,16-04-2023,21-04-2023,16-04-2023 au 21-04-2023,3848,18
35,49,F,Détente,France,hiver,9,4,3177,Carte de crédit,2,15-07-2023,20-07-2023,15-07-2023 au 20-07-2023,4948,15
36,350,Autre,Détente,Bali,hiver,6,3,906,Virement,4,12-08-2023,16-08-2023,12-08-2023 au 16-08-2023,5351,19
37,49,Autre,Détente,Népal,printemps,12,1,6955,Paypal,1,12-08-2023,14-08-2023,12-08-2023 au 14-08-2023,7326,6
38,28,F,Détente,Japon,printemps,9,3,3224,Carte de crédit,2,27-01-2024,01-02-2024,27-01-2024 au 01-02-2024,3502,14
39,30,Autre,détente,Costa Rica,été,10,4,4481,Carte de crédit,3,09-05-2023,13-05-2023,09-05-2023 au 13-05-2023,6476,11
40,22,Autre,Culturel,Bali,hiver,8,2,2391,Virement,4,31-12-2023,01-01-2024,31-12-2023 au 01-01-2024,4679,14
41,32,M,Aventure,Népal,hiver,8,4,2399,Paypal,3,09-02-2024,12-02-2024,09-02-2024 au 12-02-2024,4926,11
42,25,Autre,Aventure,Costa Rica,hiver,8,4,2399,Paypal,3,06-07-2023,11-07-2023,06-07-2023 au 11-07-2023,6012,9
43,23,Autre,Culturel,Japon,printemps,8,4,2406,Virement,1,06-08-2023,10-08-2023,06-08-2023 au 10-08-2023,3316,16
44,45,F,,Costa Rica,été,11,2,5818,Virement,2,05-03-2024,10-03-2024,05-03-2024 au 10-03-2024,5574,17
45,47,F,Culturel,France,été,10,4,4487,Paypal,3,20-03-2023,23-03-2023,20-03-2023 au 23-03-2023,5250,18
46,32,M,Aventure,Norvège,été,11,4,5823,Carte de crédit,2,24-10-2023,28-10-2023,24-10-2023 au 28-10-2023,5739,7
47,30,Autre,Détente,Norvège,automne,7,4,1471,Paypal,4,23-12-2023,25-12-2023,23-12-2023 au 25-12-2023,5434,5
48,42,Autre,Aventure,Costa Rica,été,9,1,3224,Virement,2,12-06-2023,15-06-2023,12-06-2023 au 15-06-2023,8683,14
49,24,Autre,Culturel,France,été,12,4,6956,Carte de crédit,2,06-07-2023,07-07-2023,06-07-2023 au 07-07-2023,4043,6
50,24,M,Culturel,Costa Rica,automne,15,2,9566,Carte de crédit,3,24-08-2023,28-08-2023,24-08-2023 au 28-08-2023,4204,18
51,220,M,Culturel,France,été,13,4,8099,Virement,3,12-06-2023,16-06-2023,12-06-2023 au 16-06-2023,4065,9
52,45,F,Culturel,Bali,automne,8,4,2409,Virement,3,22-10-2023,26-10-2023,22-10-2023 au 26-10-2023,4167,15
53,24,M,Culturel,France,été,8,2,2454,Virement,3,06-08-2023,08-08-2023,06-08-2023 au 08-08-2023,4044,12
54,26,Autre,aventure,Islande,hiver,14,4,9036,Paypal,2,01-08-2023,05-08-2023,01-08-2023 au 05-08-2023,6784,9
55,18,Autre,culturel,France,hiver,5,2,160,Paypal,1,20-07-2023,25-07-2023,20-07-2023 au 25-07-2023,7131,16
56,61,M,Aventure,Bali,printemps,13,4,8122,Carte de crédit,3,07-05-2023,09-05-2023,07-05-2023 au 09-05-2023,4144,7
57,39,Autre,Culturel,France,hiver,12,2,6983,Virement,2,19-01-2024,23-01-2024,19-01-2024 au 23-01-2024,3751,5
58,18,Autre,Aventure,Japon,été,13,4,8122,Carte de crédit,3,08-07-2023,13-07-2023,08-07-2023 au 13-07-2023,5707,13
59,18,M,Culturel,France,été,16,4,9842,Carte de crédit,2,06-02-2024,11-02-2024,06-02-2024 au 11-02-2024,4172,13
60,20,M,Culturel,Bali,hiver,10,1,4500,Carte de crédit,4,26-11-2023,28-11-2023,26-11-2023 au 28-11-2023,5949,20
61,43,Autre,détente,Bali,été,12,1,6986,Carte de crédit,2,30-06-2023,05-07-2023,30-06-2023 au 05-07-2023,5304,17
62,29,Autre,détente,France,hiver,9,4,3231,Virement,1,01-07-2023,05-07-2023,01-07-2023 au 05-07-2023,2726,14
63,38,Autre,Détente,Népal,printemps,5,4,177,Carte de crédit,3,07-10-2023,10-10-2023,07-10-2023 au 10-10-2023,7321,11
64,38,F,,Costa Rica,automne,7,3,1473,Virement,3,15-07-2023,19-07-2023,15-07-2023 au 19-07-2023,7694,12
65,41,F,Détente,Bali,automne,8,2,2458,Virement,3,03-02-2024,05-02-2024,03-02-2024 au 05-02-2024,4081,14
66,39,F,Détente,Norvège,été,8,3,2464,Paypal,2,29-04-2023,03-05-2023,29-04-2023 au 03-05-2023,4418,19
67,32,M,Détente,Norvège,hiver,10,1,4541,Virement,4,,,,5429,8
68,50,,Détente,Islande,printemps,12,1,6991,,3,09-04-2023,13-04-2023,09-04-2023 au 13-04-2023,5502,9
69,28,M,Détente,Costa Rica,automne,5,1,186,Virement,2,17-04-2023,19-04-2023,17-04-2023 au 19-04-2023,5988,16
70,18,M,Aventure,Japon,été,10,1,4542,Virement,2,15-02-2024,18-02-2024,15-02-2024 au 18-02-2024,8015,15
71,35,F,détente,Népal,été,6,4,909,Virement,2,04-02-2024,08-02-2024,04-02-2024 au 08-02-2024,4735,10
72,56,F,Détente,Japon,automne,6,1,910,Paypal,1,13-03-2024,18-03-2024,13-03-2024 au 18-03-2024,3803,12
73,38,F,Culturel,France,hiver,6,4,933,Paypal,2,30-12-2023,31-12-2023,30-12-2023 au 31-12-2023,2931,11
74,33,Autre,culturel,Costa Rica,été,12,4,6994,Carte de crédit,1,12-10-2023,15-10-2023,12-10-2023 au 15-10-2023,3904,20
75,24,F,culturel,France,automne,8,1,2467,Paypal,4,21-06-2023,22-06-2023,21-06-2023 au 22-06-2023,4950,4
76,4100,Autre,Détente,Japon,hiver,14,1,9063,Paypal,3,22-05-2023,23-05-2023,22-05-2023 au 23-05-2023,7692,7
77,47,M,Aventure,Costa Rica,hiver,7,2,1496,Paypal,3,12-02-2024,13-02-2024,12-02-2024 au 13-02-2024,4224,7
78,41,Autre,Détente,Norvège,hiver,9,3,3251,Paypal,3,23-01-2024,27-01-2024,23-01-2024 au 27-01-2024,5336,8
79,56,F,Aventure,Japon,été,9,1,3252,Carte de crédit,3,04-01-2024,05-01-2024,04-01-2024 au 05-01-2024,4975,10
80,23,M,Culturel,France,été,11,2,5844,Paypal,3,04-10-2023,05-10-2023,04-10-2023 au 05-10-2023,6783,18
81,31,M,culturel,France,hiver,9,2,3256,Virement,1,15-02-2024,19-02-2024,15-02-2024 au 19-02-2024,8790,15
82,43,M,Culturel,Islande,été,9,3,3266,Virement,4,08-03-2024,13-03-2024,08-03-2024 au 13-03-2024,4204,3
83,28,Autre,Aventure,France,printemps,8,4,2468,Paypal,1,12-03-2024,13-03-2024,12-03-2024 au 13-03-2024,4266,19
84,29,F,Aventure,Japon,été,14,1,9073,Paypal,3,04-07-2023,06-07-2023,04-07-2023 au 06-07-2023,6566,9
85,39,M,Culturel,Bali,été,8,3,2469,Virement,4,09-12-2023,12-12-2023,09-12-2023 au 12-12-2023,6023,15
86,21,M,Aventure,Costa Rica,printemps,9,1,3275,Virement,3,06-03-2024,07-03-2024,06-03-2024 au 07-03-2024,7770,6
87,40,,Culturel,Bali,printemps,10,2,4548,Carte de crédit,1,06-04-2023,08-04-2023,06-04-2023 au 08-04-2023,5876,6
88,47,Autre,aventure,Norvège,été,8,2,2475,Virement,4,26-03-2023,30-03-2023,26-03-2023 au 30-03-2023,4461,8
89,35,Autre,Culturel,Islande,hiver,5,4,188,Virement,4,28-03-2023,02-04-2023,28-03-2023 au 02-04-2023,5886,14
90,44,F,aventure,France,hiver,5,2,192,Paypal,2,10-10-2023,12-10-2023,10-10-2023 au 12-10-2023,6663,9
91,42,Autre,Culturel,Islande,automne,9,2,3276,Virement,3,15-11-2023,17-11-2023,15-11-2023 au 17-11-2023,6231,12
92,30,M,Aventure,Costa Rica,été,10,3,4549,,3,26-05-2023,28-05-2023,26-05-2023 au 28-05-2023,5761,9
93,26,F,Culturel,Bali,été,9,1,3283,Virement,2,10-02-2024,11-02-2024,10-02-2024 au 11-02-2024,6600,5
94,43,M,Aventure,France,printemps,10,1,4571,Paypal,1,25-11-2023,29-11-2023,25-11-2023 au 29-11-2023,6754,15
95,42,,Culturel,Japon,printemps,8,3,2484,Paypal,1,08-06-2023,12-06-2023,08-06-2023 au 12-06-2023,7073,15
96,40,Autre,Culturel,Bali,hiver,8,4,2500,Virement,4,25-05-2023,26-05-2023,25-05-2023 au 26-05-2023,5973,20
97,34,F,Détente,Japon,automne,10,1,4586,Paypal,2,02-01-2024,03-01-2024,02-01-2024 au 03-01-2024,4749,10
98,33,Autre,Aventure,Norvège,printemps,9,2,3287,Carte de crédit,3,28-08-2023,31-08-2023,28-08-2023 au 31-08-2023,5220,11
99,37,Autre,Détente,France,hiver,5,1,202,Carte de crédit,4,25-11-2023,30-11-2023,25-11-2023 au 30-11-2023,6810,9
100,43,F,Aventure,Costa Rica,hiver,12,2,7007,Virement,2,,,,3775,3
101,21,,Détente,Japon,hiver,5,4,240,Virement,2,04-05-2023,06-05-2023,04-05-2023 au 06-05-2023,5553,5
102,33,M,aventure,Népal,été,15,3,9574,Virement,2,12-04-2023,14-04-2023,12-04-2023 au 14-04-2023,4410,15
103,37,F,Culturel,Bali,été,6,1,934,Paypal,2,10-03-2024,12-03-2024,10-03-2024 au 12-03-2024,5043,19
104,30,M,Aventure,Bali,été,7,3,1576,Carte de crédit,3,15-10-2023,20-10-2023,15-10-2023 au 20-10-2023,6918,3
105,46,F,Aventure,France,hiver,7,1,1577,Carte de crédit,4,07-09-2023,10-09-2023,07-09-2023 au 10-09-2023,5287,19
106,27,M,Détente,Norvège,hiver,13,1,8131,Virement,2,23-01-2024,24-01-2024,23-01-2024 au 24-01-2024,5070,16
107,42,F,Aventure,Costa Rica,printemps,14,2,9075,Virement,5,27-12-2023,01-01-2024,27-12-2023 au 01-01-2024,2960,19
108,32,Autre,Aventure,Japon,hiver,7,2,1577,Virement,4,03-08-2023,05-08-2023,03-08-2023 au 05-08-2023,6119,6
109,33,M,Culturel,Népal,été,12,1,7013,Carte de crédit,3,04-10-2023,07-10-2023,04-10-2023 au 07-10-2023,5968,5
110,45,Autre,Aventure,,printemps,5,4,248,Carte de crédit,2,16-08-2023,19-08-2023,16-08-2023 au 19-08-2023,4538,5
110,39,Autre,Aventure,,été,12,4,7026,Carte de crédit,2,16-08-2023,19-08-2023,16-08-2023 au 19-08-2023,5329,5
110,43,Autre,Aventure,,été,13,4,8140,Carte de crédit,4,16-08-2023,19-08-2023,16-08-2023 au 19-08-2023,8245,28
111,48,,,Népal,printemps,16,4,9848,,3,16-01-2025,13-02-2025,16-01-2025 au 13-02-2025,5374,2
112,47,M,Culturel,Népal,automne,12,1,7064,Carte de crédit,3,20-12-2024,22-12-2024,20-12-2024 au 22-12-2024,7366,19
113,32,,Culturel,Maroc,été,13,4,8147,,2,24-08-2024,12-09-2024,24-08-2024 au 12-09-2024,4857,1
